BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.58	61.22	80.45	80.45
0.58	56.37	75.37	75.37
0.22	37.89	67.47	67.47
0.00	18.63	59.69	59.69
0.22	23.55	48.89	48.89
0.29	35.14	58.41	58.41
0.43	48.44	72.40	72.40
0.34	39.44	59.87	59.87
0.18	19.69	46.55	46.55
0.00	12.30	54.04	54.04
0.53	59.37	78.50	78.50
0.88	85.79	95.99	95.99
0.42	49.37	56.96	56.96
0.00	15.84	48.34	48.34
0.60	56.59	71.04	71.04
0.35	39.00	46.36	46.36
0.36	48.83	68.25	68.25
0.12	17.12	50.73	50.73
0.00	25.97	61.87	61.87
0.48	53.73	71.09	71.09
0.00	13.35	53.65	53.65
0.27	36.38	64.95	64.95
0.19	25.02	57.77	57.77
0.00	42.06	59.63	59.63
0.40	46.22	60.29	60.29
0.44	48.75	71.58	71.58
0.42	42.39	56.12	56.12
0.00	14.54	53.65	53.65
0.00	21.08	51.44	51.44
0.24	30.60	61.97	61.97
0.29	32.07	49.58	49.58
0.00	13.50	45.09	45.09
0.33	37.20	62.39	62.39
0.35	44.53	55.38	55.38
0.00	7.16	40.54	40.54
0.00	4.79	47.95	47.95
0.00	6.79	26.30	26.30
0.00	24.18	45.40	45.40
0.00	29.80	40.85	40.85
0.00	24.45	67.00	67.00
0.25	38.22	62.04	62.04
0.00	5.46	46.85	46.85
0.30	35.71	55.25	55.25
0.00	19.16	67.88	67.88
0.11	16.04	45.57	45.57
0.46	55.35	65.70	65.70
0.16	21.53	44.77	44.77
0.46	57.95	70.43	70.43
0.14	20.45	47.10	47.10
0.63	64.14	81.14	81.14
0.00	11.72	47.69	47.69
0.25	32.59	58.12	58.12
0.54	54.11	65.46	65.46
0.87	88.95	87.15	87.15
0.00	12.28	48.26	48.26
0.25	33.47	54.01	54.01
0.28	34.15	51.96	51.96
0.35	40.51	48.21	48.21
0.23	33.96	56.72	56.72
0.00	11.03	50.61	50.61
0.15	21.34	45.28	45.28
0.00	33.11	61.14	61.14
1.00	100.00	86.13	86.13
0.00	15.28	30.92	30.92
0.00	10.79	21.97	21.97
0.14	28.70	54.69	54.69
0.38	35.61	58.64	58.64
0.41	49.95	58.35	58.35
0.00	10.59	42.37	42.37
0.38	41.86	57.36	57.36
0.23	27.37	60.92	60.92
0.45	48.44	55.00	55.00
