BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.60	66.47	73.93	42.86
0.00	6.44	46.47	77.42
0.22	37.89	67.47	48.89
0.18	23.27	61.05	65.22
0.20	21.13	48.67	66.67
0.29	38.09	56.00	53.33
0.00	40.64	50.80	52.63
0.20	26.87	61.28	58.62
0.16	15.73	42.85	81.25
0.00	19.43	55.40	47.62
0.55	63.54	82.05	27.03
0.57	56.79	84.25	28.57
0.33	41.32	57.20	65.57
0.00	15.84	46.63	53.85
0.49	46.83	64.60	46.15
0.35	39.00	46.36	38.46
0.45	54.67	71.48	37.04
0.11	15.88	49.39	87.10
0.00	23.46	62.16	63.16
0.79	77.40	76.05	24.00
0.00	10.60	54.68	77.78
0.26	33.95	63.45	40.82
0.22	30.65	61.17	53.57
0.00	34.74	60.61	64.00
0.37	41.79	60.31	40.91
0.47	52.66	69.44	41.79
0.19	25.27	53.11	62.86
0.00	31.24	71.19	57.14
0.00	18.46	47.67	68.00
0.00	16.72	51.67	72.97
0.16	22.37	47.43	66.67
0.16	25.58	50.33	79.31
0.19	35.19	61.15	52.83
0.24	31.04	56.92	51.85
0.00	8.84	46.69	74.07
0.00	4.79	47.95	95.24
0.00	3.76	23.65	88.00
0.00	22.89	49.55	54.55
0.00	33.28	45.65	47.06
0.00	24.45	67.00	40.00
0.32	39.74	53.58	45.00
0.19	19.23	45.64	95.00
0.29	36.26	56.15	66.67
0.35	34.17	69.75	30.00
0.11	14.08	45.01	70.97
0.20	24.11	54.27	62.22
0.10	14.37	45.88	100.00
0.61	72.00	78.77	45.28
0.13	20.05	46.91	78.57
0.15	17.02	59.41	352.00
0.00	0.57	38.01	179.49
0.25	32.59	58.12	65.12
0.37	41.80	74.74	58.82
0.87	88.95	87.15	14.29
0.00	13.34	48.14	68.29
0.23	31.55	54.72	92.00
0.00	15.84	68.99	59.26
0.35	40.51	48.21	43.48
0.00	21.02	57.12	102.70
0.00	9.82	49.45	81.08
0.14	18.80	40.46	76.67
0.00	23.24	50.86	66.67
1.00	100.00	86.13	20.51
0.00	16.56	32.08	81.63
0.00	10.55	31.45	70.59
0.17	34.57	53.69	63.64
0.00	13.57	46.17	64.15
0.37	46.79	55.82	61.02
0.28	27.64	52.12	68.18
0.40	43.38	58.15	40.00
0.27	40.02	72.44	55.17
0.51	58.76	60.19	36.36
0.36	38.62	56.86	66.67
0.49	55.18	66.59	30.30
0.20	25.56	53.63	60.87
0.38	39.93	55.44	42.86
0.24	24.47	56.91	65.00
0.00	7.99	36.69	93.33
0.33	38.88	56.42	61.54
0.41	53.71	79.61	50.00
0.45	42.61	71.66	52.17
0.15	26.93	58.01	57.14
0.16	20.98	59.28	79.17
0.00	49.01	61.58	32.00
0.00	10.21	53.99	87.80
0.14	15.27	50.48	76.92
0.81	70.71	82.89	15.38
0.19	27.38	63.90	65.67
0.37	38.14	82.85	53.33
0.78	80.03	95.99	6.90
0.00	12.55	51.80	62.50
0.24	32.59	62.03	41.38
0.00	50.00	70.15	13.33
0.35	31.31	57.67	66.67
0.00	14.92	66.11	55.56
0.00	24.38	62.03	60.87
0.33	56.38	76.43	44.44
0.37	32.26	61.16	42.42
0.00	8.60	48.75	78.95
0.54	60.29	72.39	34.48
0.33	54.75	87.65	32.00
0.44	46.51	52.42	52.94
0.00	26.63	59.34	72.00
0.37	49.18	69.10	41.03
0.00	18.52	36.58	84.62
0.16	21.01	48.20	73.68
0.44	55.49	69.38	42.11
0.00	36.19	62.52	43.48
0.42	53.50	59.53	45.90
0.43	49.57	68.72	40.00
0.00	16.68	42.32	58.06
0.23	29.90	45.83	53.85
0.16	26.38	49.46	64.22
0.32	51.06	69.68	45.71
0.19	38.66	62.70	47.06
0.50	52.14	72.81	36.73
0.23	31.28	54.62	51.06
0.21	26.68	61.12	61.90
0.14	18.18	60.65	65.62
0.17	20.76	52.46	78.95
0.37	40.90	55.58	52.94
0.34	41.65	62.33	53.85
0.50	54.28	66.20	38.89
0.00	24.84	65.19	53.06
0.27	37.83	53.57	56.60
0.34	43.79	70.38	57.14
0.43	54.46	59.65	55.26
0.35	54.55	57.52	48.28
0.47	58.09	73.58	23.08
0.47	55.64	76.46	19.35
0.50	58.62	66.03	45.00
0.59	67.03	85.28	18.18
0.00	15.44	53.69	62.86
0.33	41.07	69.19	45.71
0.31	42.61	65.36	56.60
0.64	73.62	86.30	30.00
0.63	68.54	77.59	32.84
0.89	92.11	96.33	4.17
0.00	22.06	50.06	76.47
0.51	59.71	85.58	23.53
0.54	55.00	79.68	35.71
0.50	55.87	78.47	37.29
0.69	70.00	71.33	25.45
0.73	79.30	80.24	26.51
0.81	76.61	84.24	19.05
0.32	36.04	60.77	60.61
0.31	39.01	61.72	48.98
0.58	64.23	70.53	32.26
0.33	42.66	58.86	62.86
0.17	25.87	55.29	68.29
0.40	48.90	62.94	37.04
0.48	53.43	67.36	39.44
0.45	47.63	66.57	41.03
0.35	38.77	66.81	47.89
0.34	40.58	63.08	58.33
0.36	42.94	58.87	60.47
0.00	23.90	47.07	60.00
0.53	56.48	70.32	38.60
0.51	46.21	80.17	36.84
0.36	43.22	68.69	49.23
0.38	47.75	43.69	63.16
0.72	74.74	85.30	21.62
0.34	32.65	77.24	40.00
0.00	15.14	67.64	40.00
0.46	52.87	79.02	34.04
0.49	56.10	69.14	37.50
0.27	29.28	49.25	55.56
0.00	18.32	37.78	68.97
0.61	54.37	58.02	53.85
0.00	31.56	74.80	47.06
0.60	67.93	80.83	23.73
0.00	23.35	58.95	63.16
0.78	67.00	95.66	11.11
0.43	53.41	63.55	52.94
0.66	71.84	78.52	22.22
0.50	51.87	61.26	32.00
0.32	37.49	69.87	53.85
0.18	18.54	47.27	71.43
0.00	22.23	70.45	32.26
0.24	36.79	59.52	55.17
0.36	41.61	64.34	33.33
0.55	60.06	82.53	35.29
0.63	67.96	80.44	26.09
0.40	44.77	66.54	26.67
0.23	22.48	67.46	61.22
0.55	58.06	73.75	28.57
0.43	44.68	69.25	30.43
0.00	18.06	47.70	70.59
0.35	44.16	66.00	56.25
0.31	40.86	59.76	52.94
0.27	31.88	60.86	55.32
0.22	34.39	68.33	54.55
0.00	18.76	55.26	60.00
0.00	39.67	73.17	50.00
0.34	43.68	61.27	61.54
0.00	9.70	63.55	66.67
0.18	24.34	55.06	68.29
0.00	14.31	47.77	61.54
0.27	34.20	58.71	75.00
0.00	11.06	41.82	58.54
0.00	16.74	50.06	64.52
0.36	39.64	66.84	41.51
0.00	8.55	50.04	76.19
0.00	6.66	45.59	81.48
0.20	29.31	49.26	62.96
0.00	12.50	41.84	84.06
0.30	33.63	48.62	62.37
0.20	26.56	41.85	60.00
0.00	10.92	49.08	90.32
0.00	12.46	38.90	75.00
0.38	52.46	60.05	48.00
0.22	22.49	52.05	62.50
0.00	12.96	34.82	62.50
0.00	17.84	47.06	75.00
0.00	4.69	40.22	97.78
0.00	17.04	46.72	65.00
0.15	19.82	40.56	68.66
0.64	59.46	75.01	12.50
0.40	43.36	61.81	53.33
0.00	10.30	37.81	75.00
0.00	12.84	47.36	76.06
0.36	37.84	61.79	49.44
0.11	20.36	40.63	75.86
0.00	19.75	46.50	83.33
0.00	14.24	40.78	60.47
0.00	9.70	45.38	81.25
0.00	5.70	26.48	80.00
0.00	11.34	51.64	77.78
0.68	72.49	81.95	21.05
0.25	36.95	58.98	43.24
0.50	66.32	73.84	27.27
0.25	24.60	62.41	41.67
0.43	61.84	60.13	44.44
0.58	69.44	89.81	22.22
0.37	63.33	64.49	35.71
0.00	20.56	51.62	100.00
0.32	45.05	58.12	56.00
0.50	58.88	84.40	38.46
0.00	21.41	44.40	74.07
0.29	61.55	75.04	44.44
0.00	16.62	52.58	70.59
0.00	10.59	41.37	70.00
0.38	48.82	78.19	37.50
0.00	29.42	57.20	63.64
0.00	9.84	41.17	80.00
0.39	46.89	67.63	40.00
0.00	19.64	58.29	46.15
0.26	35.47	48.60	59.02
0.00	100.00	100.00	0.00
0.54	66.03	83.49	26.67
0.00	24.81	48.21	57.14
0.40	45.57	66.86	40.00
