BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.24	31.81	63.31	87.50
0.00	20.90	64.82	34.15
0.39	52.24	76.16	45.16
0.53	54.65	68.50	45.28
0.00	7.27	49.18	76.19
0.00	14.98	59.38	51.85
0.31	38.47	55.41	55.56
0.00	8.83	43.18	86.96
0.30	36.58	47.43	62.37
0.11	17.62	38.87	74.29
0.00	11.86	54.22	77.42
0.27	34.58	49.63	58.33
0.40	49.01	58.32	56.00
0.38	36.58	56.60	54.17
0.49	54.16	47.66	56.25
0.19	25.86	52.88	62.50
0.00	6.90	42.74	111.11
0.50	57.90	75.99	35.00
0.15	20.78	37.40	71.64
0.00	27.05	61.38	25.00
0.40	44.35	61.19	60.00
0.00	10.37	37.36	75.00
0.00	13.64	45.52	76.06
0.35	37.02	60.73	53.93
0.11	20.30	43.87	79.31
0.19	28.20	48.85	55.56
0.00	10.07	39.51	65.12
0.13	26.30	45.26	75.00
0.00	5.72	26.81	80.00
0.00	11.59	52.42	66.67
0.53	59.10	77.87	36.84
0.37	43.53	71.27	37.84
0.00	24.97	62.65	72.73
0.48	47.04	80.50	25.00
0.56	70.71	70.99	38.89
0.64	68.16	80.67	22.22
0.33	54.75	52.72	42.86
0.00	22.09	60.23	100.00
1.00	100.00	100.00	0.00
0.75	79.17	83.23	30.77
0.79	76.73	83.79	14.81
0.40	73.80	82.09	44.44
0.00	17.49	51.59	58.82
0.00	14.14	46.37	75.00
0.49	54.02	85.41	25.00
0.00	22.89	52.93	81.82
0.24	32.56	58.34	60.00
0.40	50.39	61.45	32.00
0.00	59.46	91.40	15.38
0.24	32.80	50.82	59.02
0.00	100.00	100.00	0.00
0.44	58.95	77.31	40.00
0.78	80.71	86.50	9.52
0.40	46.49	66.57	42.50
0.43	56.07	64.86	50.60
0.00	6.41	31.65	81.82
0.43	54.47	71.53	50.00
0.27	30.17	51.99	61.90
0.41	50.29	65.53	58.46
0.00	19.42	64.15	66.67
0.25	35.70	49.03	57.78
0.38	41.68	62.71	45.00
0.57	61.03	66.94	39.13
0.00	10.75	47.72	60.87
0.45	42.77	57.38	51.16
0.38	52.11	56.86	43.90
0.11	10.62	34.62	82.14
0.20	26.82	56.90	93.33
0.00	11.39	37.04	90.00
0.00	22.37	37.90	68.97
0.00	12.55	51.59	88.89
0.28	37.19	61.72	62.50
0.00	18.52	52.33	64.52
0.34	38.54	59.28	43.48
0.33	38.59	52.00	74.51
0.31	44.14	67.15	58.33
0.00	24.52	48.90	54.55
0.00	15.19	39.65	106.67
0.21	32.60	72.18	57.78
0.00	17.51	54.23	86.67
0.64	68.11	83.74	21.05
0.23	34.80	60.87	68.57
0.00	22.32	51.96	52.63
0.30	40.16	67.39	53.06
0.00	19.51	47.26	53.66
0.29	37.26	65.06	48.78
0.45	59.23	74.59	31.58
0.57	59.02	76.95	20.00
0.00	22.41	62.48	78.26
0.30	35.62	70.20	66.67
0.42	44.12	73.03	25.00
0.19	24.91	44.34	69.14
0.29	35.34	63.44	59.38
0.00	13.42	45.90	68.42
0.00	13.26	45.01	66.67
0.00	18.85	48.38	81.25
0.63	62.35	59.93	40.00
0.00	7.50	36.70	69.57
0.58	66.86	79.89	18.18
0.00	12.79	58.43	54.55
0.23	30.22	58.42	46.15
0.38	43.61	54.15	53.57
0.29	39.24	60.85	44.44
0.00	26.52	76.60	52.63
0.17	27.58	50.32	70.97
0.00	6.52	29.15	83.33
0.24	37.52	57.42	60.87
1.00	100.00	100.00	0.00
0.45	59.94	82.97	22.86
0.76	74.68	92.55	20.00
0.69	74.19	83.04	30.77
0.78	73.81	75.47	22.22
0.24	30.83	62.32	66.67
0.47	50.35	71.25	38.46
0.98	98.16	93.99	6.67
0.76	75.06	95.41	15.38
1.00	100.00	100.00	0.00
0.50	59.69	81.03	12.50
0.32	43.33	67.74	50.00
0.51	51.73	80.54	33.33
0.79	72.93	86.84	20.00
0.35	34.51	54.44	71.43
0.50	61.00	75.02	32.43
0.00	27.95	55.35	60.61
0.58	67.04	82.06	21.05
0.89	90.71	93.98	0.00
0.00	14.58	45.78	71.43
0.00	10.15	49.07	60.00
0.55	61.00	76.29	33.33
0.42	43.84	63.87	48.57
0.26	38.08	67.40	42.86
0.41	49.13	70.76	34.21
0.66	70.10	81.38	13.04
0.34	37.10	66.77	55.32
0.53	61.69	75.66	34.29
0.43	43.84	66.04	42.11
0.67	53.73	88.43	20.00
0.00	3.48	44.93	96.00
0.43	51.80	64.12	41.98
0.25	35.40	46.13	48.48
0.28	32.50	71.29	40.74
0.29	29.45	67.03	52.63
0.44	48.22	68.99	45.71
0.43	49.96	60.54	25.45
0.21	26.31	49.28	52.31
0.43	50.39	67.93	42.11
1.00	100.00	100.00	0.00
0.75	73.42	79.94	17.02
0.40	49.67	68.72	42.86
0.42	53.42	73.46	26.92
0.00	16.52	51.41	42.86
0.51	57.09	63.71	37.50
0.43	44.65	70.67	24.49
0.16	25.56	62.95	72.22
0.40	41.28	69.60	50.00
0.20	25.05	56.63	63.64
0.46	54.57	78.26	36.62
0.00	15.19	47.54	87.50
0.00	40.32	67.97	31.58
0.23	35.02	58.50	64.52
0.34	41.88	77.89	36.36
0.39	44.53	55.68	61.54
0.27	33.67	67.27	42.55
