BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.41	45.01	53.71	53.71
0.30	41.92	63.84	63.84
0.00	12.06	48.26	48.26
0.37	47.51	65.27	65.27
0.00	11.94	68.93	68.93
0.00	14.98	56.22	56.22
0.24	32.02	52.78	52.78
0.00	11.91	45.10	45.10
0.47	51.71	59.08	59.08
0.17	22.22	36.87	36.87
0.00	12.84	50.84	50.84
0.29	39.61	56.92	56.92
0.00	16.75	53.08	53.08
0.00	10.80	42.42	42.42
0.28	31.05	36.70	36.70
0.30	32.86	54.87	54.87
0.00	13.87	38.20	38.20
0.30	41.31	71.49	71.49
0.14	26.96	44.81	44.81
0.54	51.33	74.28	74.28
0.31	35.77	52.66	52.66
0.37	45.94	52.45	52.45
0.15	30.04	49.91	49.91
0.21	26.35	52.66	52.66
0.20	27.46	47.87	47.87
0.00	20.23	47.90	47.90
0.00	20.84	59.36	59.36
0.00	15.79	43.64	43.64
0.00	8.38	27.71	27.71
0.60	60.04	70.98	70.98
0.46	57.57	69.19	69.19
0.55	64.33	76.38	76.38
1.00	100.00	100.00	100.00
0.00	16.90	46.93	46.93
0.56	71.71	68.10	68.10
0.51	62.70	86.39	86.39
0.23	24.84	45.96	45.96
0.00	69.14	86.84	86.84
0.60	63.21	79.74	79.74
0.63	69.68	82.09	82.09
0.39	47.85	68.11	68.11
0.55	73.20	82.48	82.48
0.25	35.83	62.44	62.44
0.00	19.62	44.33	44.33
0.35	46.43	77.37	77.37
0.00	29.42	60.96	60.96
0.28	36.36	61.36	61.36
0.72	77.44	82.81	82.81
0.00	59.46	91.40	91.40
0.41	49.13	52.60	52.60
0.00	35.36	27.36	27.36
0.21	35.27	67.09	67.09
0.00	24.81	47.54	47.54
0.29	39.40	60.10	60.10
0.54	62.53	70.70	70.70
0.00	12.55	33.32	33.32
0.28	41.19	61.06	61.06
0.30	32.92	60.77	60.77
0.45	53.97	73.02	73.02
0.00	18.13	59.83	59.83
0.00	7.61	30.40	30.40
0.22	22.76	60.57	60.57
0.00	17.06	42.96	42.96
0.79	72.93	84.49	84.49
0.47	45.02	60.58	60.58
0.36	47.18	52.86	52.86
0.23	21.56	47.32	47.32
0.39	51.84	63.49	63.49
0.00	8.91	45.68	45.68
0.00	18.17	42.39	42.39
0.00	10.55	41.19	41.19
0.44	54.12	67.26	67.26
0.40	35.18	56.93	56.93
0.25	26.73	59.18	59.18
0.22	23.69	49.54	49.54
0.45	55.67	72.87	72.87
0.24	34.03	55.82	55.82
0.00	23.26	39.23	39.23
0.32	39.50	73.60	73.60
0.00	7.61	50.23	50.23
0.38	42.47	62.87	62.87
0.37	38.55	63.95	63.95
0.00	11.34	52.84	52.84
0.26	47.58	65.80	65.80
0.19	24.87	44.98	44.98
0.21	26.84	54.41	54.41
0.66	67.03	71.51	71.51
0.36	43.59	69.40	69.40
0.00	24.21	62.38	62.38
0.19	21.02	65.04	65.04
0.59	59.69	74.55	74.55
0.19	28.08	46.75	46.75
