BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.27	33.79	57.17	57.17
0.00	11.78	45.69	45.69
0.00	13.45	54.25	54.25
0.29	35.60	63.54	63.54
0.00	9.73	50.33	50.33
0.00	7.77	46.08	46.08
0.20	29.86	44.64	44.64
0.00	12.16	38.47	38.47
0.30	33.35	51.63	51.63
0.18	24.98	41.27	41.27
0.00	6.96	46.84	46.84
0.00	16.42	41.92	41.92
0.39	51.64	54.38	54.38
0.13	16.33	43.22	43.22
0.45	53.93	48.24	48.24
0.00	28.76	47.95	47.95
0.00	4.58	33.58	33.58
0.00	16.22	44.85	44.85
0.17	21.03	40.08	40.08
0.54	51.33	74.24	74.24
0.29	33.51	51.83	51.83
0.00	10.12	34.85	34.85
0.00	13.45	46.72	46.72
0.31	32.94	55.21	55.21
0.00	14.77	39.12	39.12
0.00	15.55	47.63	47.63
0.00	11.01	37.08	37.08
0.00	9.31	42.99	42.99
0.00	5.36	24.52	24.52
0.00	11.59	59.98	59.98
0.72	79.76	82.12	82.12
0.18	21.40	42.66	42.66
0.00	24.20	59.15	59.15
0.00	11.12	56.38	56.38
0.41	54.61	67.78	67.78
0.19	32.59	66.59	66.59
0.25	28.43	48.06	48.06
0.00	22.09	51.62	51.62
0.90	87.62	86.46	86.46
0.53	61.63	84.63	84.63
0.00	24.60	43.58	43.58
0.37	66.32	76.63	76.63
0.00	24.38	46.06	46.06
0.00	15.55	41.15	41.15
0.19	22.78	43.82	43.82
0.00	27.23	59.49	59.49
0.00	25.45	44.01	44.01
0.43	54.45	68.72	68.72
0.00	45.18	86.22	86.22
0.00	20.97	49.21	49.21
0.00	100.00	100.00	100.00
0.23	33.37	65.26	65.26
0.41	47.99	64.89	64.89
0.44	47.30	59.81	59.81
0.27	39.57	61.87	61.87
0.00	5.80	16.96	16.96
0.26	35.46	53.87	53.87
0.28	30.73	47.95	47.95
0.29	43.98	62.93	62.93
0.00	18.13	55.05	55.05
0.00	10.43	42.16	42.16
0.56	60.71	75.09	75.09
0.21	21.28	40.04	40.04
0.00	12.32	56.89	56.89
0.30	30.24	47.85	47.85
0.34	42.77	48.63	48.63
0.00	9.17	33.86	33.86
0.16	28.05	54.22	54.22
0.00	11.39	37.31	37.31
0.00	7.85	33.79	33.79
0.00	9.98	44.20	44.20
0.34	43.72	56.13	56.13
0.00	16.32	48.14	48.14
0.29	26.29	57.17	57.17
0.15	19.48	45.26	45.26
0.39	47.09	64.86	64.86
0.00	29.26	49.80	49.80
0.00	21.19	40.18	40.18
0.26	32.60	61.82	61.82
0.30	33.71	69.92	69.92
0.35	40.82	67.13	67.13
0.00	6.26	55.29	55.29
0.00	14.26	56.67	56.67
0.27	40.16	67.91	67.91
0.43	48.72	60.26	60.26
0.32	38.08	64.82	64.82
0.00	38.06	64.19	64.19
0.19	17.54	58.46	58.46
0.00	24.20	65.43	65.43
0.48	49.07	73.09	73.09
