BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.37	44.48	68.96	68.96
0.00	26.77	59.21	59.21
0.00	16.74	48.23	48.23
0.00	18.96	61.19	61.19
0.31	33.64	55.16	55.16
0.00	9.24	48.23	48.23
0.27	38.94	54.19	54.19
0.14	20.52	48.80	48.80
0.29	33.16	50.04	50.04
0.13	18.29	40.21	40.21
0.21	21.95	53.53	53.53
0.17	24.85	50.46	50.46
0.40	49.01	54.56	54.56
0.19	20.69	47.89	47.89
0.46	54.16	42.87	42.87
0.31	35.32	54.57	54.57
0.00	7.13	39.26	39.26
0.35	38.39	71.18	71.18
0.17	22.59	41.90	41.90
0.64	59.46	75.01	75.01
0.24	30.71	56.81	56.81
0.00	9.37	35.36	35.36
0.00	14.29	45.91	45.91
0.33	35.84	60.73	60.73
0.12	20.79	47.12	47.12
0.17	22.45	45.30	45.30
0.00	14.51	48.28	48.28
0.00	16.52	42.27	42.27
0.00	5.72	26.72	26.72
0.00	12.26	61.22	61.22
0.55	56.16	75.40	75.40
0.30	36.75	60.84	60.84
0.00	28.79	59.66	59.66
0.00	28.92	68.79	68.79
0.32	46.34	62.80	62.80
0.67	70.95	84.21	84.21
0.29	43.79	56.49	56.49
0.52	58.74	92.79	92.79
0.62	66.38	79.14	79.14
0.40	38.50	58.60	58.60
0.82	82.82	90.76	90.76
0.37	66.32	76.63	76.63
0.00	14.46	50.12	50.12
0.00	26.70	42.72	42.72
0.32	33.43	69.92	69.92
0.00	13.38	42.12	42.12
0.00	14.95	41.45	41.45
0.43	46.89	65.94	65.94
0.00	14.26	72.53	72.53
0.27	38.68	52.47	52.47
0.00	100.00	100.00	100.00
0.40	46.01	79.27	79.27
0.78	80.71	86.50	86.50
0.38	43.25	65.39	65.39
0.35	49.65	66.04	66.04
0.00	5.80	17.74	17.74
0.31	43.10	66.15	66.15
0.26	29.69	55.13	55.13
0.28	41.40	61.29	61.29
0.00	18.47	60.34	60.34
0.25	36.95	52.93	52.93
0.38	41.68	62.04	62.04
0.21	23.77	40.17	40.17
0.00	12.74	60.75	60.75
