BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.89	90.71	93.98	0.00
0.00	14.58	45.78	71.43
0.00	10.15	49.07	60.00
0.52	57.95	75.12	38.89
0.42	43.84	63.87	48.57
0.26	38.08	67.40	42.86
0.41	49.13	70.76	34.21
0.66	70.10	81.38	13.04
0.34	37.10	66.77	55.32
0.53	61.69	75.66	34.29
0.43	45.06	63.64	42.11
0.67	53.73	88.43	20.00
0.00	3.48	44.93	96.00
0.43	51.80	64.12	41.98
0.25	35.40	46.13	48.48
0.15	21.15	61.72	55.56
0.53	58.36	72.85	31.58
0.44	48.22	68.99	45.71
0.30	39.77	62.95	36.36
0.21	31.00	50.01	49.23
0.43	50.39	67.43	42.11
1.00	100.00	100.00	0.00
0.70	69.43	78.76	21.28
0.40	49.67	68.57	42.86
0.42	53.42	73.46	26.92
0.00	16.52	51.41	42.86
0.51	57.09	63.71	37.50
0.43	44.65	68.11	32.65
0.16	25.56	62.06	72.22
0.40	41.28	69.60	50.00
0.21	26.40	59.07	60.61
0.46	54.57	78.26	36.62
0.00	15.19	47.54	87.50
0.00	40.32	67.97	31.58
0.28	34.03	60.73	64.52
0.34	41.88	77.89	36.36
0.39	44.53	55.68	61.54
0.27	33.67	67.27	42.55
0.00	9.24	34.33	81.82
0.26	26.77	55.85	62.96
0.32	40.69	70.96	62.50
0.00	28.98	59.16	60.87
0.31	32.32	74.75	31.58
0.23	26.53	62.95	57.14
0.37	40.65	76.96	38.46
0.37	41.80	61.83	57.69
0.00	16.40	64.76	50.00
0.00	12.45	26.29	71.43
0.28	34.69	56.55	50.00
0.32	33.52	52.97	58.62
0.00	11.03	40.39	86.96
0.20	33.30	62.93	45.00
0.39	43.76	69.49	45.16
0.48	47.40	64.97	40.51
0.70	74.48	87.55	10.26
0.36	42.50	67.40	58.33
0.50	53.60	72.98	22.22
0.37	38.92	64.09	56.60
0.32	44.48	61.31	53.33
0.51	52.99	61.31	46.15
0.20	17.62	61.33	66.67
