BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.35	37.16	76.16	76.16
0.00	6.73	48.19	48.19
0.32	42.89	66.83	66.83
0.17	23.30	57.59	57.59
0.22	23.55	51.04	51.04
0.32	40.16	56.48	56.48
0.47	62.39	72.40	72.40
0.22	31.38	59.66	59.66
0.17	15.73	43.15	43.15
0.00	6.61	30.91	30.91
0.90	90.80	92.03	92.03
0.32	35.27	72.01	72.01
0.32	44.98	61.53	61.53
0.00	14.01	50.49	50.49
0.43	40.90	60.05	60.05
0.35	39.00	47.63	47.63
0.28	40.34	67.40	67.40
0.12	16.23	44.38	44.38
0.00	19.67	60.54	60.54
0.40	42.61	66.46	66.46
0.00	8.89	55.78	55.78
0.42	47.72	75.31	75.31
0.22	29.45	59.59	59.59
0.00	36.73	49.23	49.23
0.29	37.35	53.23	53.23
0.47	53.11	65.22	65.22
0.45	49.33	60.40	60.40
0.00	11.34	60.44	60.44
0.00	15.50	46.10	46.10
0.22	26.20	53.85	53.85
0.00	13.69	46.04	46.04
0.16	30.68	49.56	49.56
0.16	25.17	60.52	60.52
0.36	44.77	59.38	59.38
0.00	23.51	62.04	62.04
0.00	4.84	47.79	47.79
0.00	6.79	26.30	26.30
0.00	9.78	34.65	34.65
0.00	33.28	45.65	45.65
0.00	27.05	73.18	73.18
0.00	14.65	50.59	50.59
0.00	5.69	46.12	46.12
0.39	45.14	56.73	56.73
0.35	34.17	69.75	69.75
0.00	12.13	47.77	47.77
0.16	25.57	53.36	53.36
0.00	6.77	48.03	48.03
0.38	44.15	63.56	63.56
0.14	22.23	47.63	47.63
0.63	64.14	81.50	81.50
0.00	12.22	48.57	48.57
0.00	21.73	62.28	62.28
0.54	54.11	75.14	75.14
0.78	88.95	86.03	86.03
0.00	12.54	42.28	42.28
0.25	36.40	63.28	63.28
0.00	14.25	53.10	53.10
0.00	14.99	42.76	42.76
0.00	20.77	45.34	45.34
0.00	7.48	47.21	47.21
0.17	22.48	42.33	42.33
0.00	35.09	66.44	66.44
1.00	100.00	86.13	86.13
0.00	29.46	33.81	33.81
0.00	9.98	14.45	14.45
0.27	39.46	53.76	53.76
0.00	13.57	46.59	46.59
0.57	65.12	64.39	64.39
0.00	5.81	30.19	30.19
0.28	33.22	50.79	50.79
0.27	40.02	69.88	69.88
0.26	40.20	58.90	58.90
0.37	45.53	56.94	56.94
0.61	65.67	68.38	68.38
0.26	30.83	50.22	50.22
0.29	27.41	51.33	51.33
0.00	11.43	42.39	42.39
0.00	8.56	32.90	32.90
0.29	35.71	53.13	53.13
0.41	49.60	76.55	76.55
0.36	34.79	65.61	65.61
0.24	27.54	54.62	54.62
0.15	15.56	54.15	54.15
0.00	49.01	61.58	61.58
0.00	10.39	54.17	54.17
0.27	33.43	64.88	64.88
0.81	70.71	82.89	82.89
0.26	27.61	64.31	64.31
0.00	26.27	55.76	55.76
0.78	80.03	94.79	94.79
0.00	5.94	54.52	54.52
0.00	17.06	59.31	59.31
0.00	50.00	70.15	70.15
0.40	37.60	57.91	57.91
0.00	14.92	66.11	66.11
0.00	32.65	72.60	72.60
0.00	15.85	43.12	43.12
0.69	68.65	76.68	76.68
0.41	50.00	71.66	71.66
0.70	68.65	83.34	83.34
0.29	36.41	85.44	85.44
0.36	37.09	46.89	46.89
0.00	13.68	55.49	55.49
0.20	29.91	55.06	55.06
0.00	15.82	36.71	36.71
0.00	7.98	41.28	41.28
0.50	53.68	71.04	71.04
0.39	43.70	61.47	61.47
0.67	73.80	70.67	70.67
0.45	48.63	58.47	58.47
0.00	11.12	36.25	36.25
0.00	20.60	41.81	41.81
0.19	32.10	49.22	49.22
0.22	38.00	60.50	60.50
0.00	23.32	52.14	52.14
0.24	26.57	65.37	65.37
0.00	25.13	51.38	51.38
0.16	21.92	59.01	59.01
0.32	34.60	62.60	62.60
0.20	31.64	50.71	50.71
0.33	35.11	49.19	49.19
0.43	46.04	62.94	62.94
0.40	42.93	61.39	61.39
0.33	40.89	68.95	68.95
0.40	44.34	62.77	62.77
0.75	88.76	84.04	84.04
0.00	26.83	47.81	47.81
0.37	48.96	53.08	53.08
0.47	58.09	73.58	73.58
0.67	73.88	85.65	85.65
0.44	54.20	63.65	63.65
0.59	63.40	76.92	76.92
