BLEU	sacre_BLEU	sacre_CHRF2
0.00	10.99	38.00
0.22	31.28	56.00
0.00	9.40	47.56
0.00	7.67	37.52
0.00	4.79	49.37
0.26	37.16	53.02
0.00	7.38	42.25
0.25	26.73	59.18
0.27	28.44	51.38
0.33	42.82	63.86
0.00	32.52	51.87
0.23	31.70	49.12
0.00	7.60	56.58
0.00	7.73	44.41
0.68	66.81	80.88
0.00	9.43	60.20
0.00	14.26	57.05
0.30	40.16	65.98
0.31	39.38	64.83
0.32	38.08	64.01
0.45	59.23	74.59
0.29	35.07	61.24
0.00	24.92	64.19
0.30	30.28	68.55
0.00	14.92	60.96
0.24	35.08	55.63
0.29	34.90	63.87
0.21	35.65	58.08
0.32	41.00	49.42
0.00	10.37	51.78
0.37	34.57	42.18
0.24	36.62	69.47
0.37	43.25	73.97
0.00	12.86	58.16
0.22	34.42	59.79
0.42	47.04	57.59
0.19	28.98	56.64
0.30	40.65	80.93
0.20	26.21	57.83
0.00	6.65	37.85
0.00	30.74	52.40
1.00	100.00	100.00
0.40	55.48	77.75
0.88	82.65	97.38
0.75	79.72	95.37
0.00	10.30	58.98
0.00	19.23	57.19
0.74	77.60	81.36
0.60	60.23	81.55
0.00	27.30	76.85
0.70	77.69	83.27
0.50	59.69	91.86
0.25	33.38	66.01
0.41	46.59	73.51
0.42	39.83	71.18
0.40	44.82	59.45
0.32	46.51	68.53
0.32	45.52	60.35
0.58	67.04	83.59
0.89	90.71	93.98
0.00	14.58	45.78
0.00	5.07	28.60
0.22	35.39	68.93
0.39	42.08	63.94
0.33	40.21	66.45
0.44	50.11	64.99
0.53	58.31	66.53
0.00	9.96	47.72
0.21	38.33	73.34
0.27	27.84	52.37
0.00	17.97	74.19
0.00	4.46	40.34
0.25	33.56	53.47
0.22	32.71	43.98
0.16	21.76	59.46
0.16	26.67	67.48
0.00	15.73	55.48
0.29	41.92	58.87
0.23	37.17	53.47
0.43	46.46	68.07
0.54	77.65	90.04
0.43	47.90	72.95
0.48	55.93	70.87
0.38	49.84	72.72
0.00	19.13	67.90
0.27	37.26	54.48
0.55	56.24	73.67
0.00	20.88	51.38
0.53	72.42	84.27
0.19	24.59	59.96
0.43	48.01	69.52
0.00	17.77	55.18
0.00	26.13	65.25
0.23	28.59	63.70
0.62	66.36	90.51
0.38	40.05	55.71
0.29	39.20	74.31
0.00	19.35	39.88
0.36	41.42	61.67
0.00	16.62	66.75
0.00	18.84	43.17
0.00	21.43	68.62
0.16	25.16	61.53
0.27	43.59	69.42
0.27	34.01	57.43
0.00	36.60	79.40
0.16	15.07	33.82
0.24	30.62	47.23
0.29	29.48	53.60
0.00	11.00	51.23
0.18	28.34	62.79
0.47	57.66	81.88
0.41	42.33	62.30
0.80	83.61	84.78
0.25	43.07	59.21
0.50	53.60	72.98
0.18	19.87	52.15
0.21	31.64	50.10
0.60	96.22	71.34
0.29	37.42	64.07
0.25	34.91	68.20
0.18	42.41	56.33
0.25	31.97	58.29
0.00	9.72	51.08
0.00	24.49	52.19
0.00	15.08	53.76
0.47	57.94	63.19
0.00	6.54	35.44
0.25	42.47	53.85
0.43	52.33	56.02
0.43	45.63	54.90
0.20	37.31	59.01
0.44	51.72	71.89
0.11	12.21	29.25
0.23	23.51	51.53
0.25	30.42	48.56
0.00	26.07	43.99
0.32	35.06	51.73
0.20	34.70	55.44
0.00	19.94	52.38
0.00	13.20	52.99
0.00	13.97	44.87
0.12	14.59	48.75
0.46	47.06	72.57
0.00	21.94	47.54
0.25	25.80	49.48
0.38	38.26	64.18
0.52	53.83	65.71
0.00	26.67	55.05
0.54	58.61	70.02
0.35	45.65	75.14
0.31	41.61	74.06
0.26	23.46	59.58
0.00	15.44	49.58
0.63	63.40	90.98
0.00	30.13	51.55
0.41	47.38	52.77
0.00	20.78	48.42
0.49	53.03	68.00
0.68	68.59	72.94
0.00	20.33	39.34
0.48	50.47	70.93
0.00	11.82	30.16
0.85	85.85	91.56
0.00	16.45	62.24
0.00	21.02	47.03
0.34	38.54	72.67
0.00	15.68	51.16
0.17	25.56	55.94
0.25	27.27	53.05
0.20	32.00	59.20
0.47	56.05	79.63
0.46	47.35	65.89
0.00	5.10	34.50
0.54	56.15	67.94
0.21	22.65	62.79
0.42	52.54	62.76
0.41	53.41	74.25
0.44	49.70	72.37
0.23	28.23	51.97
0.45	52.93	74.00
0.42	52.10	71.37
0.00	4.69	36.82
0.34	56.82	61.91
0.74	77.51	86.51
0.07	8.58	40.55
0.22	27.96	58.26
0.27	36.12	64.91
0.19	21.14	62.60
0.76	78.12	84.69
0.26	27.94	65.38
0.28	32.74	60.80
0.51	50.81	74.98
0.29	31.37	65.50
0.00	5.39	37.18
0.53	59.75	55.11
0.84	84.66	80.77
0.00	8.86	53.36
0.16	27.24	55.02
0.28	35.69	56.23
0.50	55.48	67.85
0.00	15.30	44.27
0.39	45.40	79.86
0.44	49.89	64.48
0.00	12.22	37.31
0.25	32.23	65.20
0.34	38.36	72.84
0.43	54.51	66.82
0.20	33.63	49.42
0.34	36.16	56.43
0.17	31.62	53.96
0.32	45.33	51.19
0.00	29.73	57.48
0.18	26.97	52.10
0.37	41.74	70.19
0.21	21.78	57.35
0.35	40.47	52.62
0.00	27.00	40.77
0.19	27.73	42.46
0.00	9.90	43.91
0.40	40.51	45.13
0.52	52.66	55.09
0.00	28.25	61.12
0.20	32.75	54.50
0.62	63.06	83.83
0.43	49.58	77.53
0.37	41.52	59.23
0.23	28.00	49.00
0.39	46.51	64.05
0.48	48.33	65.67
0.29	32.04	67.41
0.22	21.31	60.53
0.00	19.34	53.84
0.33	36.37	61.53
0.00	12.00	54.53
0.15	18.98	52.25
0.16	18.93	54.76
0.18	19.54	50.20
0.31	38.52	60.68
0.14	27.53	52.92
0.45	49.58	66.67
0.58	56.06	70.06
0.18	22.86	55.51
0.00	10.12	40.01
0.00	4.74	31.09
0.00	19.34	49.04
0.00	7.11	35.42
0.00	14.88	42.41
1.00	100.00	100.00
0.38	37.71	61.45
0.00	13.58	52.43
0.66	73.49	83.94
0.00	20.56	64.52
0.35	45.61	56.33
0.00	39.76	85.07
0.00	23.18	51.67
0.00	11.20	44.02
0.00	8.91	30.95
0.00	100.00	100.00
0.31	45.47	50.41
0.15	25.25	44.03
0.00	6.33	40.41
1.00	100.00	100.00
0.44	45.31	75.41
0.00	17.72	50.58
0.16	19.90	46.07
0.00	100.00	100.00
0.00	20.97	40.84
0.23	30.13	57.64
0.20	25.75	61.05
0.00	10.68	35.30
0.00	29.96	55.83
0.00	7.01	31.64
1.00	100.00	100.00
0.00	70.71	84.34
0.62	65.26	69.60
0.30	39.61	54.78
0.24	31.41	44.77
0.76	75.98	85.29
0.82	84.28	94.35
0.69	71.60	86.78
0.58	58.27	74.12
0.00	5.37	38.93
0.32	37.70	45.64
0.69	77.49	78.78
0.63	67.04	70.27
0.52	55.22	72.41
0.77	78.48	81.02
0.19	19.43	53.99
0.64	67.87	77.05
0.22	33.00	53.50
0.19	21.99	52.76
0.41	45.05	67.11
0.46	43.52	64.93
0.30	31.00	57.99
0.24	26.16	59.58
0.60	50.89	79.93
0.00	14.81	50.25
0.00	31.83	65.73
0.43	42.00	70.26
0.30	40.60	56.92
0.18	30.27	51.90
0.47	55.02	78.24
0.52	62.14	64.39
0.00	12.22	48.92
0.54	60.70	62.52
0.00	21.19	48.67
0.00	20.83	39.66
0.00	18.84	57.06
0.42	53.74	68.23
0.00	19.86	48.07
0.28	34.05	46.61
0.49	60.67	68.37
0.30	40.03	65.31
0.40	47.27	62.53
0.00	25.77	54.43
0.45	58.64	75.48
0.00	23.51	55.19
0.28	52.52	58.59
0.50	62.87	73.73
0.28	39.77	49.69
0.36	34.03	56.82
0.29	60.07	66.50
0.00	15.22	42.42
0.24	34.92	63.98
0.31	53.13	70.74
0.22	40.41	64.53
0.24	45.76	62.41
0.30	49.60	50.15
0.26	28.92	53.91
0.00	9.35	47.01
0.37	52.67	61.79
0.32	43.15	60.62
0.66	67.71	72.02
0.28	36.96	45.93
0.15	18.79	54.05
