BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.41	45.89	61.22	62.50
0.00	11.38	44.36	63.41
0.00	16.74	48.23	64.52
0.30	43.65	63.67	45.28
0.00	14.63	52.27	95.24
0.00	14.98	53.48	59.26
0.20	30.58	50.12	59.26
0.00	12.36	40.35	84.06
0.34	38.75	50.40	58.06
0.15	22.40	43.62	65.71
0.00	7.89	53.10	70.97
0.00	12.46	36.38	75.00
0.39	51.64	55.22	40.00
0.13	16.93	42.27	66.67
0.39	45.83	45.76	62.50
0.00	18.12	48.32	62.50
0.00	12.88	39.29	93.33
0.00	24.35	47.82	65.00
0.13	19.04	44.62	74.63
0.64	59.46	74.98	12.50
0.26	31.13	51.80	73.33
0.00	10.30	37.03	75.00
0.00	22.82	46.89	78.87
0.33	35.72	60.13	56.18
0.12	20.47	43.78	75.86
0.00	21.27	46.83	83.33
0.00	13.47	39.90	65.12
0.15	25.31	48.46	71.88
0.00	5.37	22.52	85.00
0.00	11.59	52.42	66.67
0.56	58.68	68.06	42.11
0.31	45.69	61.18	37.84
0.36	52.19	63.90	36.36
0.27	26.58	64.78	33.33
0.43	61.84	60.92	44.44
0.52	59.07	78.26	22.22
0.52	62.86	57.22	35.71
0.00	21.36	59.82	100.00
0.32	45.05	58.12	56.00
0.50	58.88	84.40	38.46
0.70	74.37	81.66	29.63
0.27	56.92	67.55	51.85
0.25	35.83	60.07	82.35
0.00	23.52	45.21	70.00
0.46	53.69	83.03	31.25
0.00	29.42	57.20	63.64
0.00	9.84	41.17	80.00
0.47	51.50	71.45	32.00
0.00	31.56	75.72	61.54
0.25	35.12	52.72	59.02
0.00	100.00	100.00	0.00
0.60	69.64	75.08	33.33
0.00	24.81	48.21	57.14
0.51	57.51	62.89	47.50
0.32	49.76	59.66	60.24
0.00	5.80	14.93	81.82
0.00	20.73	53.21	73.33
0.38	39.81	53.21	61.90
0.27	36.13	56.67	64.62
0.26	32.14	65.90	57.14
0.00	10.94	31.74	75.56
0.55	59.80	69.88	20.00
0.20	24.65	43.43	56.52
0.37	34.85	59.58	52.17
0.34	34.12	49.12	55.81
0.36	47.18	48.47	53.66
0.00	9.15	36.33	71.43
0.20	26.16	55.76	93.33
0.00	9.58	35.02	90.00
0.00	21.65	37.36	75.86
0.00	9.29	34.13	88.89
0.27	38.21	56.34	62.50
0.00	7.97	47.80	70.97
0.25	26.73	59.18	52.17
0.21	24.53	48.58	78.43
0.00	7.86	48.60	79.17
0.26	36.68	58.34	48.48
0.00	17.75	39.17	106.67
0.00	20.26	65.99	57.78
0.00	18.18	60.91	80.00
0.41	48.78	74.59	36.84
0.33	33.64	59.23	62.86
0.00	14.26	56.67	42.11
0.30	43.66	69.42	48.98
0.30	37.94	53.79	53.66
0.32	38.08	64.01	48.78
0.29	36.62	64.35	52.63
0.28	34.32	59.93	66.67
0.00	24.92	64.19	86.96
0.19	21.02	65.04	71.43
0.00	12.26	59.51	62.50
0.19	28.41	46.89	66.67
0.00	14.95	53.93	65.62
0.42	50.28	59.98	42.11
0.00	7.30	35.81	78.79
0.00	9.81	42.28	93.75
0.44	46.62	51.69	45.71
0.00	10.65	39.90	86.96
0.32	39.41	70.03	42.42
0.00	14.90	68.28	45.45
0.67	69.31	82.34	30.77
0.40	44.84	57.99	50.00
0.19	28.14	57.35	57.78
0.30	40.65	80.93	52.63
0.16	24.47	56.14	70.97
0.00	10.49	37.60	77.78
0.00	29.62	58.95	60.87
1.00	100.00	100.00	0.00
0.38	57.68	80.42	28.57
0.76	74.68	92.55	20.00
0.60	67.25	76.42	23.08
0.00	27.88	55.94	59.26
0.00	12.89	50.96	66.67
0.32	43.54	70.19	61.54
0.90	88.57	95.26	6.67
0.00	20.56	66.95	61.54
0.70	77.69	83.27	21.05
0.50	59.69	82.34	12.50
0.32	43.33	67.74	50.00
0.53	51.99	76.47	37.50
0.79	72.93	86.84	20.00
0.40	44.82	68.71	50.00
0.32	46.51	68.53	43.24
0.32	45.52	60.35	60.61
0.58	67.04	82.06	21.05
0.60	62.09	78.69	24.24
0.00	14.58	45.78	71.43
0.00	9.98	40.75	80.00
0.21	33.23	63.69	61.11
0.49	50.02	66.94	42.86
0.25	38.66	56.84	57.14
0.53	59.19	76.51	26.32
