BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.31	41.02	59.46	59.46
0.00	13.72	45.54	45.54
0.00	13.45	49.81	49.81
0.51	58.45	70.62	70.62
0.00	14.98	52.05	52.05
0.00	13.68	48.87	48.87
0.00	21.27	44.37	44.37
0.00	12.68	40.20	40.20
0.24	29.18	46.98	46.98
0.13	17.85	37.52	37.52
0.00	11.99	51.75	51.75
0.14	21.96	44.98	44.98
0.32	38.06	54.23	54.23
0.13	16.93	44.98	44.98
0.52	59.98	54.00	54.00
0.19	25.86	52.88	52.88
0.00	12.09	39.04	39.04
0.00	15.68	43.21	43.21
0.12	16.26	42.81	42.81
0.00	19.72	62.54	62.54
0.37	39.77	57.95	57.95
0.00	9.74	34.69	34.69
0.00	21.14	44.50	44.50
0.32	34.52	55.39	55.39
0.16	21.57	46.25	46.25
0.26	35.55	50.68	50.68
0.00	14.24	40.64	40.64
0.00	16.23	41.65	41.65
0.00	5.37	22.13	22.13
0.00	11.59	51.84	51.84
0.47	56.43	62.01	62.01
0.24	36.40	59.89	59.89
0.00	51.29	64.70	64.70
0.23	24.02	54.26	54.26
0.31	41.44	41.97	41.97
0.46	54.82	75.32	75.32
0.37	58.77	53.00	53.00
0.00	20.56	51.62	51.62
0.28	31.04	53.00	53.00
0.50	58.88	84.40	84.40
0.00	26.58	51.18	51.18
0.29	64.17	76.05	76.05
0.00	13.83	44.13	44.13
0.00	17.43	42.13	42.13
0.23	42.46	61.59	61.59
0.00	24.74	48.09	48.09
0.00	11.39	44.95	44.95
0.42	50.39	67.68	67.68
0.00	19.64	58.29	58.29
0.23	29.88	52.13	52.13
0.00	100.00	100.00	100.00
0.27	52.45	63.77	63.77
0.35	43.67	75.19	75.19
0.48	57.95	61.95	61.95
0.34	49.72	57.88	57.88
0.00	6.27	27.66	27.66
0.00	23.69	52.40	52.40
0.20	24.18	47.97	47.97
0.19	30.93	55.31	55.31
0.00	16.33	50.30	50.30
0.14	25.07	37.25	37.25
0.35	42.39	63.83	63.83
0.00	13.22	37.14	37.14
0.41	38.10	56.06	56.06
0.32	32.04	45.71	45.71
0.36	47.28	52.07	52.07
0.00	8.53	33.76	33.76
0.18	22.42	54.67	54.67
0.00	9.86	36.07	36.07
0.00	21.65	37.79	37.79
0.00	7.77	46.68	46.68
0.42	48.98	58.83	58.83
0.00	13.95	50.44	50.44
0.27	28.10	59.28	59.28
0.20	21.25	49.54	49.54
0.18	33.37	67.41	67.41
0.25	29.17	56.15	56.15
0.00	15.19	40.49	40.49
0.22	24.44	60.19	60.19
0.00	11.60	55.33	55.33
0.44	52.08	68.26	68.26
0.00	6.80	51.85	51.85
0.00	23.36	71.36	71.36
0.27	40.16	63.58	63.58
0.31	40.11	62.60	62.60
0.28	34.96	60.34	60.34
0.45	59.23	74.59	74.59
0.29	35.07	61.24	61.24
0.00	22.31	62.46	62.46
0.28	30.23	61.32	61.32
0.00	12.26	59.51	59.51
0.19	29.41	49.81	49.81
0.00	14.06	54.07	54.07
0.00	26.75	53.34	53.34
0.26	30.96	45.33	45.33
0.00	3.10	41.03	41.03
0.56	63.75	57.44	57.44
0.00	14.56	54.75	54.75
0.00	25.95	55.11	55.11
0.00	21.72	55.40	55.40
0.00	20.28	52.40	52.40
0.24	31.70	50.99	50.99
0.17	25.54	50.97	50.97
0.23	35.07	76.40	76.40
0.17	27.58	52.86	52.86
0.00	20.64	43.86	43.86
0.18	32.40	54.75	54.75
1.00	100.00	100.00	100.00
0.60	71.67	84.51	84.51
0.76	74.68	92.35	92.35
0.69	74.19	83.04	83.04
0.29	37.84	60.54	60.54
0.00	10.09	46.21	46.21
0.74	77.60	81.18	81.18
0.98	98.16	93.99	93.99
0.00	27.30	76.85	76.85
0.40	58.70	80.03	80.03
0.00	29.85	69.95	69.95
0.24	32.59	67.13	67.13
0.38	42.40	71.66	71.66
0.79	72.93	86.84	86.84
0.40	45.02	67.39	67.39
0.32	46.51	68.53	68.53
0.30	43.73	60.32	60.32
0.58	67.04	82.06	82.06
0.41	43.72	74.80	74.80
0.00	14.58	45.78	45.78
0.00	18.04	45.42	45.42
0.39	52.69	74.36	74.36
0.41	45.45	61.92	61.92
0.00	17.49	57.77	57.77
0.55	61.37	76.16	76.16
0.51	56.87	68.37	68.37
0.00	11.38	40.42	40.42
0.21	29.54	66.05	66.05
0.43	48.93	64.78	64.78
0.00	50.81	100.00	100.00
0.00	4.03	43.59	43.59
0.00	22.04	52.03	52.03
0.25	35.40	46.13	46.13
0.00	12.18	57.94	57.94
0.00	24.55	60.08	60.08
0.00	11.43	52.55	52.55
0.23	36.91	61.10	61.10
0.14	22.09	47.95	47.95
0.52	57.33	68.99	68.99
0.00	53.34	59.31	59.31
0.39	46.70	72.80	72.80
0.43	50.90	64.13	64.13
0.38	49.83	72.61	72.61
0.00	19.13	64.51	64.51
0.51	54.27	64.84	64.84
0.25	34.10	67.06	67.06
0.00	18.13	52.29	52.29
0.58	66.78	70.09	70.09
0.16	22.22	59.64	59.64
0.47	54.32	78.00	78.00
0.00	15.19	45.98	45.98
0.36	46.43	73.82	73.82
0.31	41.05	65.15	65.15
0.55	59.23	82.80	82.80
0.43	44.53	54.26	54.26
0.46	54.07	83.23	83.23
0.00	19.35	40.01	40.01
0.28	33.23	61.66	61.66
0.28	35.22	69.35	69.35
0.00	16.66	43.28	43.28
0.00	14.34	61.96	61.96
0.24	34.81	66.17	66.17
0.00	39.80	74.05	74.05
0.20	24.19	55.20	55.20
0.55	59.15	79.27	79.27
0.00	13.26	36.48	36.48
0.24	30.62	47.23	47.23
0.36	42.46	60.15	60.15
0.00	9.94	46.03	46.03
0.19	29.09	62.53	62.53
0.00	40.00	71.68	71.68
0.41	41.28	61.45	61.45
0.69	72.46	80.75	80.75
0.00	27.41	48.92	48.92
0.54	56.79	81.36	81.36
0.21	28.34	56.87	56.87
0.21	29.95	47.09	47.09
0.60	96.22	71.34	71.34
0.18	37.42	64.07	64.07
0.19	28.20	56.73	56.73
0.42	63.94	59.67	59.67
0.15	21.34	38.12	38.12
0.00	8.51	56.85	56.85
0.24	36.28	55.48	55.48
0.00	11.46	47.11	47.11
0.14	29.12	49.54	49.54
0.22	24.01	47.93	47.93
0.26	45.08	59.93	59.93
0.30	39.76	51.93	51.93
0.43	48.41	55.11	55.11
0.46	48.53	59.73	59.73
0.40	50.06	73.34	73.34
0.00	5.61	18.13	18.13
0.00	14.95	49.44	49.44
0.24	28.88	52.33	52.33
0.00	27.61	50.92	50.92
0.44	49.53	64.30	64.30
0.38	48.84	62.22	62.22
0.00	9.87	45.05	45.05
0.00	12.77	49.10	49.10
0.00	16.21	59.25	59.25
0.09	11.79	49.63	49.63
0.41	44.83	69.63	69.63
0.18	32.33	57.53	57.53
0.19	25.54	49.72	49.72
0.00	13.89	52.44	52.44
0.32	35.56	60.77	60.77
0.00	27.04	53.04	53.04
0.42	45.24	75.22	75.22
0.30	37.60	75.86	75.86
0.25	32.51	68.33	68.33
0.42	37.60	66.54	66.54
0.45	53.83	67.42	67.42
0.60	57.67	81.14	81.14
0.00	32.52	58.19	58.19
0.41	45.77	52.52	52.52
0.00	26.21	54.72	54.72
0.43	50.22	73.09	73.09
0.52	60.75	61.63	61.63
0.32	31.36	43.99	43.99
0.39	43.15	58.96	58.96
0.00	23.07	31.33	31.33
0.78	79.69	86.72	86.72
0.00	7.15	57.14	57.14
0.30	34.79	44.15	44.15
0.33	36.31	63.95	63.95
0.18	29.70	57.24	57.24
0.00	18.71	40.16	40.16
0.28	30.11	60.18	60.18
0.30	34.96	60.52	60.52
0.27	35.61	36.54	36.54
0.43	44.90	61.93	61.93
0.00	13.60	39.31	39.31
0.52	53.19	67.33	67.33
0.10	9.56	53.12	53.12
0.34	34.00	56.11	56.11
0.19	22.51	47.65	47.65
0.31	37.68	66.91	66.91
0.23	28.12	51.71	51.71
0.28	33.17	63.84	63.84
0.47	60.90	76.06	76.06
0.00	12.79	38.80	38.80
0.52	67.71	74.25	74.25
0.55	60.23	76.93	76.93
0.00	9.50	42.92	42.92
0.30	35.48	62.77	62.77
0.39	51.81	70.42	70.42
0.30	31.74	64.51	64.51
0.62	64.32	74.99	74.99
0.31	34.83	62.79	62.79
0.18	24.36	55.44	55.44
0.28	28.27	63.19	63.19
0.33	34.64	63.19	63.19
0.00	15.69	54.04	54.04
0.53	59.75	55.11	55.11
0.46	51.92	69.53	69.53
0.00	6.88	52.60	52.60
0.11	20.59	56.11	56.11
0.17	28.17	49.54	49.54
0.00	32.60	57.55	57.55
0.00	19.61	51.28	51.28
0.48	55.23	76.85	76.85
0.15	24.92	53.98	53.98
0.00	12.22	40.08	40.08
0.29	40.62	64.14	64.14
0.27	26.38	60.55	60.55
0.37	53.00	57.82	57.82
0.30	33.33	44.14	44.14
0.00	29.67	47.92	47.92
0.18	27.97	53.21	53.21
0.43	55.25	56.88	56.88
0.36	50.71	64.58	64.58
0.25	36.89	47.28	47.28
0.00	23.23	57.49	57.49
0.31	37.20	64.70	64.70
0.37	39.90	54.21	54.21
0.00	21.78	47.43	47.43
0.20	23.22	34.36	34.36
0.17	21.58	47.40	47.40
0.22	24.60	41.55	41.55
0.42	45.59	55.85	55.85
0.51	54.33	71.25	71.25
0.36	42.73	54.86	54.86
0.51	52.57	73.06	73.06
0.43	49.58	77.53	77.53
0.24	27.20	51.73	51.73
0.23	28.35	49.26	49.26
0.40	46.07	62.32	62.32
0.35	35.08	55.76	55.76
0.42	47.90	71.21	71.21
0.24	22.90	58.76	58.76
0.20	28.92	59.65	59.65
0.30	31.01	60.23	60.23
0.25	30.80	54.39	54.39
0.20	23.35	58.35	58.35
0.00	11.72	43.25	43.25
0.15	15.20	48.12	48.12
0.31	38.08	59.67	59.67
0.14	24.04	49.60	49.60
0.21	23.08	49.30	49.30
0.69	66.96	73.44	73.44
0.23	27.68	57.42	57.42
0.00	16.94	40.72	40.72
0.00	4.82	34.18	34.18
0.00	16.68	50.05	50.05
0.00	4.89	31.96	31.96
0.00	9.88	37.69	37.69
0.53	52.54	81.37	81.37
0.21	22.05	51.97	51.97
0.38	43.95	70.63	70.63
0.78	82.51	79.31	79.31
0.00	45.50	74.86	74.86
0.35	45.61	54.01	54.01
0.00	39.76	85.07	85.07
0.00	21.26	51.16	51.16
0.00	11.20	44.02	44.02
0.00	11.73	47.50	47.50
0.00	100.00	100.00	100.00
0.19	29.49	41.05	41.05
0.15	25.76	45.12	45.12
0.00	6.61	45.11	45.11
1.00	100.00	100.00	100.00
0.53	56.83	80.46	80.46
0.00	10.80	43.47	43.47
0.16	19.90	44.40	44.40
0.00	100.00	100.00	100.00
0.00	22.25	40.40	40.40
0.20	27.67	55.61	55.61
0.27	30.28	62.98	62.98
0.00	10.68	35.30	35.30
0.00	21.37	49.96	49.96
0.00	13.16	38.91	38.91
0.00	8.91	20.89	20.89
0.00	70.71	84.34	84.34
0.62	65.26	69.60	69.60
0.40	46.45	49.77	49.77
0.29	37.40	58.03	58.03
0.33	33.28	76.25	76.25
0.82	84.28	94.35	94.35
0.51	56.24	84.71	84.71
0.58	58.27	74.12	74.12
0.00	4.41	33.84	33.84
