BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.40	15.70	100.00
0.00	3.44	18.26	200.00
0.00	4.75	20.42	145.45
0.00	6.05	14.23	90.91
0.00	6.32	15.88	100.00
0.00	3.01	13.55	127.27
0.00	3.74	15.07	100.00
0.00	1.77	7.39	100.00
0.00	1.05	17.37	327.27
0.00	1.73	18.22	363.64
0.00	2.52	19.18	154.55
0.00	4.32	18.00	145.45
0.00	2.61	7.97	100.00
0.00	8.10	21.89	127.27
0.00	2.85	12.87	100.00
0.00	2.63	16.42	100.00
0.00	2.61	9.91	100.00
0.00	5.40	20.51	127.27
0.00	4.11	23.12	145.45
0.00	4.55	18.34	136.36
0.00	5.82	17.21	109.09
0.00	0.00	9.36	100.00
0.00	2.44	20.61	263.64
0.00	2.61	10.80	100.00
0.00	1.70	15.02	227.27
0.00	2.08	18.47	318.18
0.00	3.01	13.29	118.18
0.00	1.72	17.60	218.18
0.00	2.16	19.14	172.73
0.00	2.41	14.92	154.55
0.00	2.85	19.05	218.18
0.00	3.13	14.23	118.18
0.00	3.25	16.06	100.00
0.00	1.54	17.80	418.18
0.00	3.01	14.29	118.18
0.00	6.82	20.20	90.91
0.00	4.11	19.45	163.64
0.00	3.74	16.72	100.00
0.00	3.10	8.46	100.00
0.00	3.74	17.08	163.64
0.00	2.05	16.84	181.82
0.00	3.34	11.56	100.00
0.00	2.28	16.02	163.64
0.00	6.05	9.66	90.91
0.00	2.16	20.56	172.73
0.00	1.63	18.12	400.00
0.00	3.38	13.62	109.09
0.00	2.74	8.67	100.00
0.00	0.00	1.72	100.00
0.00	2.10	5.28	100.00
0.00	0.00	2.97	100.00
0.00	2.10	3.96	100.00
0.00	2.14	6.42	100.00
0.00	5.44	12.17	127.27
0.00	6.33	14.15	90.91
0.00	3.39	12.50	100.00
0.00	2.85	9.08	100.00
0.00	3.76	16.12	100.00
0.00	3.74	17.57	100.00
0.00	2.91	18.62	127.27
0.00	1.83	17.97	209.09
0.00	3.41	11.92	100.00
0.00	1.39	18.76	263.64
0.00	1.76	20.58	200.00
0.00	6.75	13.02	100.00
0.00	3.46	14.25	118.18
0.00	3.92	16.63	154.55
0.00	1.76	18.73	209.09
0.00	4.81	15.08	136.36
0.00	2.27	19.26	172.73
0.00	3.40	16.37	100.00
0.00	3.38	13.84	109.09
0.00	1.77	7.97	100.00
0.00	2.87	15.44	100.00
0.00	3.25	7.96	100.00
0.00	3.70	10.09	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.40	15.99	100.00
0.00	1.77	6.18	100.00
0.00	3.92	17.54	163.64
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	3.06	17.79	218.18
0.00	2.91	15.25	127.27
0.00	2.14	10.32	100.00
0.00	3.10	6.56	100.00
0.00	1.76	16.69	227.27
0.00	1.72	17.52	218.18
0.00	3.04	13.45	136.36
0.00	3.06	18.36	209.09
0.00	2.41	18.97	154.55
0.00	2.27	15.57	172.73
0.00	3.44	19.34	209.09
0.00	0.83	16.66	490.91
0.00	1.98	17.81	200.00
0.00	3.30	17.19	190.91
0.00	4.32	17.77	145.45
0.00	2.37	20.24	263.64
0.00	2.19	19.45	300.00
0.00	1.24	17.20	318.18
0.00	2.61	13.96	100.00
0.00	2.42	9.95	100.00
0.00	4.32	15.30	145.45
0.00	1.77	8.46	100.00
0.00	1.19	16.03	554.55
0.00	2.74	12.02	100.00
0.00	6.23	11.03	90.91
0.00	6.32	16.32	90.91
0.00	2.08	18.43	327.27
0.00	2.74	9.06	100.00
0.00	2.42	9.37	100.00
0.00	1.89	17.00	372.73
0.00	2.00	18.96	218.18
0.00	3.82	17.98	172.73
0.00	2.87	15.27	100.00
0.00	3.41	13.79	100.00
0.00	3.39	7.61	100.00
0.00	3.40	16.28	100.00
0.00	3.58	17.67	190.91
0.00	3.18	17.94	209.09
0.00	4.55	16.82	145.45
0.00	2.61	9.97	100.00
0.00	3.01	13.76	127.27
0.00	3.25	8.74	90.91
0.00	2.83	12.32	136.36
0.00	1.77	5.26	100.00
0.00	1.96	15.37	190.91
0.00	3.40	10.92	100.00
0.00	1.73	16.86	190.91
0.00	2.13	18.70	327.27
0.00	1.96	18.07	200.00
0.00	2.33	17.55	172.73
0.00	1.93	18.06	327.27
0.00	2.27	18.94	172.73
0.00	2.86	13.48	100.00
0.00	2.39	13.96	163.64
0.00	2.55	14.27	145.45
0.00	2.27	14.90	172.73
0.00	3.40	15.02	109.09
0.00	2.61	8.32	100.00
0.00	2.84	14.08	118.18
0.00	1.48	16.45	254.55
0.00	3.01	15.35	127.27
0.00	2.74	7.95	100.00
0.00	2.81	15.85	100.00
0.00	3.34	12.95	100.00
0.00	2.14	5.25	100.00
0.00	2.66	14.25	145.45
0.00	2.17	15.62	181.82
0.00	1.48	17.20	272.73
0.00	2.72	17.85	136.36
0.00	2.14	5.61	100.00
0.00	3.58	20.76	181.82
0.00	3.40	11.49	100.00
0.00	3.39	14.12	100.00
0.00	6.29	12.96	109.09
0.00	2.27	14.72	154.55
0.00	2.87	6.63	100.00
0.00	3.22	14.70	118.18
0.00	3.25	10.67	100.00
0.00	6.33	14.14	90.91
0.00	2.83	12.88	127.27
0.00	3.13	14.26	127.27
0.00	2.14	7.51	100.00
0.00	3.43	4.79	100.00
0.00	2.61	6.05	100.00
0.00	1.76	17.66	218.18
0.00	2.72	15.46	136.36
0.00	2.61	5.47	100.00
0.00	1.77	4.24	100.00
0.00	1.77	4.98	100.00
0.00	2.74	10.11	100.00
0.00	1.77	5.92	100.00
0.00	2.84	13.15	118.18
0.00	6.23	10.13	100.00
0.00	3.76	13.14	100.00
0.00	2.81	10.56	100.00
0.00	1.63	19.13	218.18
0.00	3.41	13.13	100.00
0.00	1.29	17.64	290.91
0.00	2.66	18.66	145.45
0.00	2.39	16.42	145.45
0.00	2.28	12.67	163.64
0.00	2.74	8.13	100.00
0.00	2.61	8.51	100.00
0.00	3.46	11.57	109.09
0.00	3.25	11.58	100.00
0.00	3.38	12.87	109.09
0.00	2.74	18.49	100.00
0.00	1.83	17.06	218.18
0.00	2.07	15.71	190.91
0.00	2.16	15.88	136.36
0.00	2.63	11.59	127.27
0.00	1.96	17.41	200.00
0.00	6.79	11.43	90.91
0.00	3.77	11.48	100.00
0.00	3.38	13.12	109.09
0.00	1.83	17.20	190.91
0.00	3.01	15.53	127.27
0.00	6.32	13.10	90.91
0.00	2.74	7.98	100.00
0.00	2.14	5.02	100.00
0.00	2.15	14.62	154.55
0.00	3.40	13.75	100.00
0.00	1.77	8.15	100.00
0.00	3.25	7.85	100.00
0.00	2.52	15.88	145.45
0.00	1.89	17.45	209.09
0.00	2.83	15.84	145.45
0.00	2.37	19.27	281.82
0.00	2.03	16.90	309.09
0.00	3.38	10.12	100.00
0.00	0.00	4.16	100.00
0.00	2.03	19.47	300.00
0.00	4.05	16.67	136.36
0.00	0.65	15.62	500.00
0.00	2.28	17.07	154.55
0.00	2.14	7.81	100.00
0.00	2.86	13.66	100.00
0.00	1.21	16.95	290.91
0.00	1.56	4.13	100.00
0.00	0.00	3.92	100.00
0.00	1.90	16.32	181.82
0.00	4.81	16.58	145.45
0.00	3.38	14.23	109.09
0.00	5.11	20.57	127.27
0.00	2.86	19.13	136.36
0.00	4.75	18.04	136.36
0.00	3.23	15.76	136.36
0.00	5.11	14.63	118.18
0.00	3.82	19.02	172.73
0.00	4.32	18.18	154.55
0.00	3.38	13.65	100.00
0.00	2.14	6.57	100.00
0.00	1.76	17.55	218.18
0.00	1.87	17.89	200.00
0.00	1.98	19.66	190.91
0.00	3.25	13.18	100.00
0.00	2.95	20.84	227.27
0.00	3.48	21.06	190.91
0.00	1.98	16.28	354.55
0.00	2.72	16.50	118.18
0.00	1.02	18.43	390.91
0.00	1.48	17.92	254.55
0.00	2.08	19.29	309.09
0.00	5.44	18.28	118.18
0.00	1.83	18.67	218.18
0.00	3.74	15.67	100.00
0.00	1.48	19.18	254.55
0.00	5.82	12.09	109.09
0.00	2.51	18.04	272.73
0.00	1.83	19.20	209.09
0.00	2.16	17.51	172.73
0.00	1.31	17.45	272.73
0.00	3.18	20.17	209.09
0.00	2.55	16.47	145.45
0.00	0.92	16.84	445.45
0.00	2.55	18.24	145.45
0.00	2.55	21.26	145.45
0.00	3.92	18.71	172.73
0.00	2.27	21.56	172.73
0.00	1.90	16.51	209.09
0.00	2.72	14.14	136.36
0.00	2.39	18.00	163.64
0.00	1.77	16.50	363.64
0.00	2.55	15.38	136.36
0.00	3.92	18.91	181.82
0.00	2.51	19.31	254.55
0.00	2.72	17.30	136.36
0.00	1.16	17.03	490.91
