BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.93	109.09
0.00	3.44	18.26	200.00
0.00	4.81	21.02	145.45
0.00	6.05	14.04	90.91
0.00	6.80	17.02	100.00
0.00	3.01	13.55	127.27
0.00	3.74	15.07	100.00
0.00	1.77	6.50	100.00
0.00	0.94	16.98	363.64
0.00	1.60	19.95	400.00
0.00	1.76	20.81	218.18
0.00	4.32	18.00	145.45
0.00	3.34	8.88	100.00
0.00	8.10	22.21	127.27
0.00	2.85	14.29	100.00
0.00	2.45	16.80	100.00
0.00	2.14	6.63	100.00
0.00	5.40	21.17	127.27
0.00	4.11	22.87	136.36
0.00	2.71	18.80	136.36
0.00	5.82	19.34	109.09
0.00	0.00	9.36	100.00
0.00	2.37	20.43	263.64
0.00	2.74	9.35	100.00
0.00	1.70	15.20	227.27
0.00	2.31	18.58	309.09
0.00	2.66	14.58	136.36
0.00	1.79	18.00	209.09
0.00	2.05	18.84	181.82
0.00	2.52	17.51	163.64
0.00	2.95	19.87	209.09
0.00	2.83	16.94	136.36
0.00	3.25	16.06	100.00
0.00	1.66	17.50	418.18
0.00	5.11	15.31	127.27
0.00	6.34	16.96	90.91
0.00	4.11	19.45	163.64
0.00	3.38	13.38	100.00
0.00	3.25	9.62	100.00
0.00	4.14	17.43	163.64
0.00	2.05	16.84	181.82
0.00	3.34	11.56	100.00
0.00	2.28	18.03	163.64
0.00	6.05	8.68	90.91
0.00	2.05	19.91	181.82
0.00	1.60	17.92	409.09
0.00	3.38	13.01	109.09
0.00	2.74	9.09	100.00
0.00	0.00	4.28	100.00
0.00	2.10	5.28	100.00
0.00	0.00	2.97	100.00
0.00	2.54	5.60	100.00
0.00	2.14	6.20	100.00
0.00	6.25	11.63	109.09
0.00	6.33	14.58	90.91
0.00	3.38	14.55	109.09
0.00	2.81	7.86	100.00
0.00	3.46	17.15	109.09
0.00	3.01	18.73	127.27
0.00	3.01	18.34	127.27
0.00	1.83	17.38	209.09
0.00	3.41	11.92	100.00
0.00	1.30	18.08	309.09
0.00	1.48	19.64	245.45
0.00	6.61	14.98	109.09
0.00	3.23	14.69	127.27
0.00	3.92	17.87	154.55
0.00	1.76	18.94	209.09
0.00	3.63	16.26	181.82
0.00	1.83	20.18	209.09
0.00	3.40	16.37	100.00
0.00	2.86	14.91	145.45
0.00	1.77	8.01	100.00
0.00	2.86	19.30	109.09
0.00	3.10	8.62	100.00
0.00	3.70	10.55	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.40	16.23	100.00
0.00	1.77	5.67	100.00
0.00	2.59	19.08	245.45
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.67	17.75	236.36
0.00	2.45	15.00	136.36
0.00	2.14	10.32	100.00
0.00	3.10	6.56	100.00
0.00	1.69	17.82	227.27
0.00	1.79	17.46	209.09
0.00	3.22	13.66	127.27
0.00	3.06	18.41	209.09
0.00	2.02	19.51	163.64
0.00	2.07	16.87	190.91
