BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.40	15.70	100.00
0.00	3.44	19.80	200.00
0.00	4.75	20.42	145.45
0.00	6.05	14.04	90.91
0.00	6.32	15.70	100.00
0.00	3.01	13.55	127.27
0.00	3.74	15.28	100.00
0.00	1.77	6.50	100.00
0.00	1.05	16.60	336.36
0.00	1.57	18.33	400.00
0.00	1.69	20.11	209.09
0.00	4.32	18.00	145.45
0.00	2.61	8.03	100.00
0.00	8.10	22.65	127.27
0.00	2.81	12.35	100.00
0.00	2.85	15.31	100.00
0.00	2.74	9.88	100.00
0.00	5.40	21.17	127.27
0.00	4.32	22.39	136.36
0.00	3.44	20.10	172.73
0.00	5.82	19.15	109.09
0.00	0.00	9.36	100.00
0.00	2.44	20.88	263.64
0.00	2.61	10.80	100.00
0.00	1.70	15.02	227.27
0.00	2.25	19.26	318.18
0.00	3.22	11.38	109.09
0.00	1.79	17.90	209.09
0.00	2.28	19.54	163.64
0.00	2.72	15.57	136.36
0.00	2.85	19.13	218.18
0.00	2.83	17.14	136.36
0.00	3.25	16.06	100.00
0.00	1.63	17.91	427.27
0.00	2.52	16.31	145.45
0.00	6.82	20.20	90.91
0.00	4.32	18.77	154.55
0.00	3.38	13.68	100.00
0.00	3.10	8.46	100.00
0.00	3.79	16.85	172.73
0.00	2.05	16.73	181.82
0.00	3.25	11.20	100.00
0.00	2.83	17.17	136.36
0.00	6.05	11.17	90.91
0.00	2.28	18.70	163.64
0.00	1.63	18.07	400.00
0.00	3.40	13.69	100.00
0.00	3.25	9.46	100.00
0.00	0.00	1.72	100.00
0.00	2.10	5.28	100.00
0.00	0.00	2.97	100.00
0.00	2.54	5.60	100.00
0.00	2.14	6.42	100.00
0.00	6.25	10.92	109.09
0.00	6.33	14.15	90.91
0.00	3.38	14.01	109.09
0.00	2.74	6.85	100.00
0.00	3.76	16.12	100.00
0.00	3.01	17.52	127.27
0.00	2.91	18.62	127.27
0.00	1.83	17.55	209.09
0.00	3.41	12.79	100.00
0.00	1.35	19.09	272.73
0.00	1.76	20.07	200.00
0.00	6.61	14.98	109.09
0.00	3.23	14.52	127.27
0.00	3.92	17.87	154.55
0.00	1.69	18.43	218.18
0.00	5.11	14.87	127.27
0.00	1.83	20.01	209.09
0.00	3.38	20.88	109.09
0.00	3.13	14.47	118.18
0.00	1.77	8.00	100.00
0.00	3.13	18.93	118.18
0.00	3.10	7.07	100.00
0.00	3.70	10.09	100.00
0.00	3.10	7.69	100.00
0.00	3.10	6.03	100.00
0.00	3.40	15.39	100.00
0.00	1.31	4.33	100.00
0.00	3.74	18.08	172.73
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.59	18.52	245.45
0.00	2.91	14.61	127.27
0.00	2.14	10.32	100.00
0.00	3.10	6.56	100.00
0.00	1.69	16.76	236.36
0.00	1.83	16.90	227.27
0.00	3.46	13.77	127.27
0.00	3.06	18.12	209.09
0.00	2.02	18.67	163.64
0.00	2.13	16.44	200.00
0.00	3.44	18.31	209.09
0.00	0.90	16.97	463.64
0.00	2.17	16.80	172.73
0.00	3.30	17.97	190.91
0.00	4.11	17.96	154.55
0.00	2.30	19.85	263.64
0.00	2.19	18.95	300.00
0.00	1.34	17.98	318.18
