BLEU	sacre_BLEU	sacre_CHRF2
0.00	3.40	15.70
0.00	3.44	18.26
0.00	4.75	20.42
0.00	6.05	14.23
0.00	6.32	15.88
0.00	3.01	13.55
0.00	3.74	15.07
0.00	1.77	7.39
0.00	1.05	17.37
0.00	1.73	18.22
0.00	2.52	19.18
0.00	4.32	18.00
0.00	2.61	7.97
0.00	8.10	21.89
0.00	2.85	12.87
0.00	2.63	16.42
0.00	2.61	9.91
0.00	5.40	20.51
0.00	4.11	23.12
0.00	4.55	18.34
0.00	5.82	17.21
0.00	0.00	9.36
0.00	2.44	20.61
0.00	2.61	10.80
0.00	1.70	15.02
0.00	2.08	18.47
0.00	3.01	13.29
0.00	1.72	17.60
0.00	2.16	19.14
0.00	2.41	14.92
0.00	2.85	19.05
0.00	3.13	14.23
0.00	3.25	16.06
0.00	1.54	17.80
0.00	3.01	14.29
0.00	6.82	20.20
0.00	4.11	19.45
0.00	3.74	16.72
0.00	3.10	8.46
0.00	3.74	17.08
0.00	2.05	16.84
0.00	3.34	11.56
0.00	2.28	16.02
0.00	6.05	9.66
0.00	2.16	20.56
0.00	1.63	18.12
0.00	3.38	13.62
0.00	2.74	8.67
0.00	0.00	1.72
0.00	2.10	5.28
0.00	0.00	2.97
0.00	2.10	3.96
0.00	2.14	6.42
0.00	5.44	12.17
0.00	6.33	14.15
0.00	3.39	12.50
0.00	2.85	9.08
0.00	3.76	16.12
0.00	3.74	17.57
0.00	2.91	18.62
0.00	1.83	17.97
0.00	3.41	11.92
0.00	1.39	18.76
0.00	1.76	20.58
0.00	6.75	13.02
0.00	3.46	14.25
0.00	3.92	16.63
0.00	1.76	18.73
0.00	4.81	15.08
0.00	2.27	19.26
0.00	3.40	16.37
0.00	3.38	13.84
0.00	1.77	7.97
0.00	2.87	15.44
0.00	3.25	7.96
0.00	3.70	10.09
0.00	3.25	9.19
0.00	3.10	6.03
0.00	3.40	15.99
0.00	1.77	6.18
0.00	3.92	17.54
0.00	0.12	2.21
0.00	0.00	3.92
0.00	3.06	17.79
0.00	2.91	15.25
0.00	2.14	10.32
0.00	3.10	6.56
0.00	1.76	16.69
0.00	1.72	17.52
0.00	3.04	13.45
0.00	3.06	18.36
0.00	2.41	18.97
0.00	2.27	15.57
0.00	3.44	19.34
0.00	0.83	16.66
0.00	1.98	17.81
0.00	3.30	17.19
0.00	4.32	17.77
0.00	2.37	20.24
0.00	2.19	19.45
0.00	1.24	17.20
0.00	2.61	13.96
0.00	2.42	9.95
0.00	4.32	15.30
0.00	1.77	8.46
0.00	1.19	16.03
0.00	2.74	12.02
0.00	6.23	11.03
0.00	6.32	16.32
0.00	2.08	18.43
0.00	2.74	9.06
0.00	2.42	9.37
0.00	1.89	17.00
0.00	2.00	18.96
0.00	3.82	17.98
0.00	2.87	15.27
0.00	3.41	13.79
0.00	3.39	7.61
0.00	3.40	16.28
0.00	3.58	17.67
0.00	3.18	17.94
0.00	4.55	16.82
0.00	2.61	9.97
0.00	3.01	13.76
0.00	3.25	8.74
0.00	2.83	12.32
0.00	1.77	5.26
0.00	1.96	15.37
0.00	3.40	10.92
0.00	1.73	16.86
0.00	2.13	18.70
0.00	1.96	18.07
0.00	2.33	17.55
0.00	1.93	18.06
0.00	2.27	18.94
0.00	2.86	13.48
0.00	2.39	13.96
0.00	2.55	14.27
0.00	2.27	14.90
0.00	3.40	15.02
0.00	2.61	8.32
0.00	2.84	14.08
0.00	1.48	16.45
0.00	3.01	15.35
0.00	2.74	7.95
0.00	2.81	15.85
0.00	3.34	12.95
0.00	2.14	5.25
0.00	2.66	14.25
0.00	2.17	15.62
0.00	1.48	17.20
0.00	2.72	17.85
0.00	2.14	5.61
0.00	3.58	20.76
