BLEU	sacre_BLEU	sacre_CHRF2
0.00	2.27	17.82
0.00	1.54	15.97
0.00	2.66	16.54
0.00	3.33	18.21
0.00	2.37	18.52
0.00	2.72	17.66
0.00	1.14	16.01
0.00	2.45	15.42
0.00	2.14	9.70
0.00	0.12	2.21
0.00	0.00	3.92
0.00	5.40	18.61
0.00	4.32	18.26
0.00	2.39	17.56
0.00	1.53	18.92
0.00	3.40	17.21
0.00	2.66	17.37
0.00	2.83	15.11
0.00	1.43	19.21
0.00	3.01	15.55
0.00	2.42	8.27
0.00	3.38	11.38
0.00	2.74	7.37
0.00	2.76	18.70
0.00	2.87	11.80
0.00	2.27	16.80
0.00	1.82	16.68
0.00	2.14	8.51
0.00	2.78	18.45
0.00	2.35	19.16
0.00	2.14	6.26
0.00	2.52	16.93
0.00	3.10	4.97
0.00	3.34	15.05
0.00	2.39	18.47
0.00	2.61	11.86
0.00	3.23	14.47
0.00	3.38	19.95
0.00	2.81	13.67
0.00	2.61	10.69
0.00	1.70	17.06
0.00	2.52	17.92
0.00	1.70	19.32
0.00	3.74	17.55
0.00	2.83	17.62
0.00	1.43	18.44
0.00	3.38	17.20
0.00	1.58	18.17
0.00	2.85	14.70
0.00	2.14	7.48
0.00	1.70	17.49
0.00	1.77	6.19
0.00	3.72	11.43
0.00	1.24	18.50
0.00	2.19	17.73
0.00	3.40	13.04
0.00	3.74	9.94
0.00	6.23	14.74
0.00	3.25	10.31
0.00	3.23	15.11
0.00	2.42	12.47
0.00	2.83	16.41
0.00	2.81	16.63
0.00	3.39	10.65
0.00	2.22	19.83
0.00	2.33	18.09
0.00	3.01	14.55
0.00	3.34	14.12
0.00	1.76	16.18
0.00	3.38	13.56
0.00	1.72	16.93
0.00	3.76	9.66
0.00	2.51	16.98
0.00	6.23	13.92
0.00	3.38	12.67
0.00	0.00	9.16
0.00	0.00	7.59
0.00	2.39	18.46
0.00	3.77	14.39
0.00	2.27	20.27
0.00	3.74	13.19
0.00	1.96	19.85
0.00	3.46	16.00
0.00	3.44	18.82
0.00	0.70	4.15
0.00	5.75	15.32
0.00	0.70	4.10
0.00	0.00	3.92
0.00	3.34	8.42
0.00	4.75	16.21
0.00	2.91	14.19
0.00	1.77	3.86
0.00	4.32	16.67
0.00	2.85	19.90
0.00	3.38	13.83
0.00	2.42	9.21
0.00	2.86	12.36
0.00	1.79	16.69
0.00	2.85	16.84
0.00	2.14	7.56
0.00	3.34	8.66
0.00	3.01	16.00
0.00	2.82	19.55
0.00	2.71	17.11
0.00	3.74	13.41
0.00	2.61	8.33
0.00	2.27	17.86
0.00	3.40	14.17
0.00	0.70	1.50
0.00	2.74	10.61
0.00	2.87	7.81
0.00	2.27	18.53
0.00	2.39	16.97
0.00	2.14	9.14
0.00	3.38	10.41
0.00	2.42	7.25
0.00	3.13	12.53
0.00	0.12	2.21
0.00	0.00	3.92
0.00	2.81	10.37
0.00	2.33	16.72
0.00	2.54	5.92
0.00	2.14	11.32
0.00	2.74	11.47
0.00	0.00	6.44
0.00	3.72	9.76
0.00	5.82	12.58
0.00	2.44	18.67
0.00	2.52	16.97
0.00	2.27	18.77
0.00	1.77	8.29
0.00	4.02	13.36
0.00	3.76	12.49
0.00	2.66	17.41
0.00	3.41	12.55
0.00	2.86	13.47
0.00	1.45	16.86
0.00	2.44	17.52
0.00	4.55	15.82
0.00	1.64	18.87
0.00	3.01	14.40
0.00	4.02	14.88
0.00	2.08	18.32
0.00	3.38	14.99
0.00	3.41	14.52
0.00	2.83	19.35
0.00	3.41	13.32
0.00	2.19	17.95
0.00	1.24	17.47
0.00	3.04	13.56
0.00	2.14	6.91
0.00	3.41	14.71
0.00	2.20	19.20
0.00	2.31	18.15
0.00	6.42	19.96
0.00	3.43	8.53
0.00	2.17	14.62
0.00	2.44	19.22
0.00	2.15	16.78
0.00	1.31	5.81
0.00	1.98	19.09
0.00	1.31	2.97
0.00	3.70	12.45
0.00	3.18	17.33
0.00	1.65	17.23
0.00	2.81	12.16
0.00	1.21	15.82
0.00	1.52	17.57
0.00	3.46	13.96
0.00	1.87	17.49
0.00	3.01	20.06
0.00	2.22	17.73
0.00	3.34	12.16
0.00	5.11	16.77
0.00	2.54	10.07
