BLEU	sacre_BLEU	sacre_CHRF2
0.00	2.39	17.96
0.00	1.54	16.04
0.00	2.66	15.71
0.00	3.64	19.76
0.00	3.06	20.08
0.00	2.72	17.86
0.00	1.16	16.18
0.00	0.00	14.30
0.00	1.77	7.21
0.00	0.12	2.21
0.00	0.00	3.92
0.00	6.15	16.63
0.00	6.29	16.76
0.00	2.52	16.42
0.00	1.53	18.84
0.00	3.40	17.01
0.00	2.66	17.88
0.00	2.72	16.87
0.00	1.53	19.45
0.00	3.01	15.55
0.00	2.42	8.27
0.00	2.86	11.63
0.00	2.74	7.23
0.00	1.90	16.77
0.00	3.41	11.27
0.00	2.66	17.27
0.00	1.73	17.56
0.00	2.14	8.28
0.00	2.78	19.43
0.00	2.25	18.44
0.00	2.14	6.26
0.00	2.66	15.96
0.00	3.10	4.97
0.00	3.39	14.40
0.00	4.32	19.53
0.00	2.61	10.77
0.00	3.23	14.10
0.00	3.38	20.77
0.00	2.81	13.67
0.00	2.61	10.29
0.00	1.76	17.60
0.00	2.52	16.92
0.00	1.59	19.62
0.00	3.40	17.63
0.00	3.13	16.58
0.00	1.53	18.39
0.00	2.86	17.16
0.00	1.63	18.31
0.00	2.87	14.67
0.00	2.14	7.48
0.00	1.70	17.06
0.00	1.77	6.19
0.00	4.04	12.12
0.00	1.43	18.71
0.00	2.30	17.99
0.00	3.40	13.04
0.00	4.05	10.63
0.00	6.23	13.59
0.00	3.25	9.18
0.00	3.46	15.19
0.00	2.74	13.59
0.00	2.91	16.61
0.00	2.81	16.63
0.00	3.39	11.14
0.00	2.17	19.79
0.00	2.17	18.38
0.00	3.46	14.53
0.00	3.34	14.12
0.00	1.90	16.13
0.00	3.40	12.86
0.00	1.72	16.82
0.00	3.10	8.55
0.00	2.85	18.51
0.00	6.23	13.44
0.00	2.85	11.22
0.00	0.00	6.08
0.00	0.00	7.59
0.00	3.01	19.19
0.00	3.76	15.93
0.00	2.27	18.88
0.00	3.39	11.10
0.00	1.96	19.85
0.00	4.02	12.14
0.00	3.30	17.93
0.00	0.70	4.15
0.00	6.61	14.12
0.00	0.70	4.10
0.00	0.00	3.92
0.00	2.42	6.91
0.00	5.06	15.92
0.00	2.91	13.88
0.00	1.77	3.86
0.00	5.11	18.06
0.00	2.95	19.90
0.00	3.38	14.27
0.00	2.42	8.60
0.00	2.86	13.24
0.00	2.16	16.99
0.00	2.85	17.14
0.00	2.74	9.33
0.00	3.34	8.66
0.00	2.72	15.66
0.00	2.44	18.33
0.00	3.04	16.60
0.00	3.46	13.20
0.00	2.74	10.10
0.00	2.44	17.31
0.00	3.40	14.17
