BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.37	44.48	68.96	58.33
0.00	26.77	59.21	43.90
0.00	16.74	48.23	64.52
0.00	18.96	61.19	52.83
0.31	33.64	55.16	57.14
0.00	9.24	48.23	59.26
0.27	38.94	54.19	55.56
0.14	20.52	48.80	84.06
0.29	33.16	50.04	55.91
0.13	18.29	40.21	68.57
0.21	21.95	53.53	64.52
0.17	24.85	50.46	58.33
0.40	49.01	54.56	56.00
0.19	20.69	47.89	79.17
0.46	54.16	42.87	62.50
0.31	35.32	54.57	62.50
0.00	7.13	39.26	97.78
0.35	38.39	71.18	55.00
0.17	22.59	41.90	68.66
0.64	59.46	75.01	12.50
0.24	30.71	56.81	53.33
0.00	9.37	35.36	83.33
0.00	14.29	45.91	76.06
0.33	35.84	60.73	53.93
0.12	20.79	47.12	72.41
0.17	22.45	45.30	61.11
0.00	14.51	48.28	55.81
0.00	16.52	42.27	81.25
0.00	5.72	26.72	80.00
0.00	12.26	61.22	55.56
0.55	56.16	75.40	36.84
0.30	36.75	60.84	48.65
0.00	28.79	59.66	63.64
0.00	28.92	68.79	41.67
0.32	46.34	62.80	44.44
0.67	70.95	84.21	13.33
0.29	43.79	56.49	42.86
0.52	58.74	92.79	50.00
0.62	66.38	79.14	32.00
0.40	38.50	58.60	53.85
0.82	82.82	90.76	7.41
0.37	66.32	76.63	37.04
0.00	14.46	50.12	105.88
0.00	26.70	42.72	70.00
0.32	33.43	69.92	43.75
0.00	13.38	42.12	90.91
0.00	14.95	41.45	70.00
0.43	46.89	65.94	40.00
0.00	14.26	72.53	76.92
0.27	38.68	52.47	52.46
0.00	100.00	100.00	0.00
0.40	46.01	79.27	40.00
0.78	80.71	86.50	9.52
0.38	43.25	65.39	42.50
0.35	49.65	66.04	48.19
0.00	5.80	17.74	81.82
0.31	43.10	66.15	53.33
0.26	29.69	55.13	61.90
0.28	41.40	61.29	58.46
0.00	18.47	60.34	66.67
0.25	36.95	52.93	53.33
0.38	41.68	62.04	45.00
0.21	23.77	40.17	65.22
0.00	12.74	60.75	52.17
0.28	28.56	57.58	65.12
0.41	56.72	67.48	39.02
0.00	11.41	39.79	67.86
0.18	25.07	55.43	100.00
0.00	11.39	37.31	80.00
0.00	6.20	31.02	110.34
0.00	9.43	47.37	88.89
0.42	50.05	59.51	56.25
0.00	16.54	49.29	83.87
0.00	28.92	53.29	78.26
0.27	33.25	46.84	70.59
0.36	45.54	64.47	58.33
0.25	31.87	56.19	54.55
0.00	22.09	40.39	80.00
0.28	36.48	72.68	57.78
0.00	13.60	59.06	80.00
0.64	68.11	83.74	21.05
0.49	49.25	62.83	40.00
0.00	14.26	56.67	42.11
0.29	44.10	68.85	53.06
0.30	38.46	54.54	48.78
0.32	38.08	64.58	48.78
0.34	44.53	62.23	52.63
0.39	46.76	64.10	40.00
0.00	22.41	62.48	78.26
0.00	11.86	59.42	90.48
0.00	12.26	59.29	62.50
0.19	28.26	46.02	66.67
0.32	37.91	66.39	50.00
0.26	44.15	63.37	36.84
0.26	35.15	48.22	54.55
0.00	9.26	59.20	75.00
0.57	57.62	60.70	34.29
0.00	18.93	51.97	69.57
0.00	21.56	49.61	48.48
0.00	14.90	68.28	45.45
0.41	44.17	72.72	30.77
0.17	21.13	53.04	60.71
0.26	36.16	52.96	53.33
0.31	42.61	77.91	52.63
0.11	21.59	49.02	70.97
0.00	10.77	38.99	77.78
0.24	33.05	58.53	58.70
1.00	100.00	100.00	0.00
0.33	50.88	87.46	22.86
0.76	74.68	92.55	20.00
0.66	72.72	88.36	23.08
0.00	27.88	55.94	59.26
0.20	29.19	59.69	57.14
0.74	77.60	80.47	23.08
0.57	59.98	88.24	20.00
0.76	75.06	95.41	15.38
0.37	48.22	64.38	52.63
0.50	59.69	82.34	12.50
0.32	43.33	67.74	50.00
0.63	62.31	82.25	29.17
0.34	32.52	62.21	50.00
0.40	45.02	75.13	42.86
0.50	61.00	75.02	32.43
0.32	43.70	58.08	54.55
0.58	67.04	82.06	21.05
0.75	78.09	94.29	12.12
0.00	14.58	45.78	71.43
0.00	4.99	39.63	90.00
0.54	57.95	75.23	38.89
0.48	49.09	66.54	45.71
0.37	42.71	65.74	52.38
0.43	50.95	71.01	34.21
0.69	74.86	76.80	26.09
0.34	37.10	66.77	55.32
0.63	64.62	66.35	28.57
0.44	44.25	62.05	45.61
0.00	37.99	80.52	60.00
0.00	4.07	40.44	96.00
0.28	37.22	49.68	59.26
0.25	35.40	46.13	48.48
0.28	32.19	71.00	40.74
0.26	39.16	74.13	36.84
0.00	15.87	58.89	68.57
0.33	37.14	58.49	36.36
0.23	33.01	53.99	46.15
0.51	52.49	68.56	49.12
0.54	77.65	90.04	34.78
0.61	65.81	76.25	25.53
0.31	42.07	62.97	46.43
0.49	59.50	72.86	30.77
0.00	13.49	45.97	71.43
0.55	57.05	67.36	33.33
0.22	29.32	70.06	40.82
0.16	25.56	62.95	72.22
0.58	64.03	68.97	50.00
0.00	14.06	59.64	60.61
0.24	32.19	65.09	50.70
0.00	9.03	53.10	87.50
0.00	13.51	53.89	63.16
0.24	30.14	66.20	58.06
0.55	59.23	82.80	27.27
0.63	66.80	63.31	46.15
0.41	47.60	78.48	34.04
0.00	8.55	38.24	90.91
0.18	20.32	54.12	66.67
0.00	16.62	66.75	75.00
0.00	28.98	57.69	60.87
0.31	32.32	74.75	31.58
0.28	34.36	65.51	53.06
0.32	41.41	79.92	38.46
0.35	39.47	61.41	63.46
0.00	36.60	79.40	16.67
0.22	20.69	38.33	64.29
0.25	31.82	47.53	58.33
0.32	34.30	52.94	65.52
0.00	10.51	49.58	82.61
0.00	12.09	55.64	80.00
0.30	39.95	68.66	58.06
0.41	42.06	61.62	48.10
0.86	88.82	90.46	5.13
0.13	19.11	49.84	75.00
0.50	53.60	72.98	22.22
0.33	38.20	60.85	60.38
0.32	44.48	61.31	53.33
0.00	32.02	62.40	46.15
0.20	17.62	61.33	66.67
0.30	39.19	62.47	65.57
0.42	46.96	56.20	57.14
0.19	24.84	54.38	64.62
0.00	10.57	51.08	68.97
0.32	39.25	58.37	39.34
0.00	12.27	51.85	66.67
0.49	56.48	68.66	39.34
0.00	14.05	43.09	78.95
0.00	19.84	50.42	59.46
0.43	50.11	56.28	42.31
0.43	49.25	54.38	53.85
0.32	42.78	59.60	60.47
0.56	59.51	74.06	38.46
0.17	20.85	32.01	83.72
0.28	25.48	43.54	66.67
0.17	24.94	48.30	70.59
0.00	31.72	48.06	62.50
0.34	42.86	60.48	57.53
0.38	49.77	60.53	58.33
0.31	38.21	60.52	53.66
0.00	13.16	49.92	67.92
0.20	33.51	63.27	69.57
0.13	15.17	51.36	70.59
0.47	50.87	73.74	23.08
0.16	32.22	50.31	60.71
0.27	31.63	55.86	57.73
0.00	13.89	52.44	44.44
0.40	43.19	62.07	45.00
0.00	8.67	56.67	74.07
0.39	43.08	73.30	52.38
0.25	33.38	71.36	88.89
0.31	38.26	69.96	25.00
0.00	31.70	54.18	50.00
0.00	7.34	48.99	78.79
0.58	53.88	72.11	36.36
0.00	45.72	48.65	82.35
0.43	47.91	53.94	53.33
0.00	15.73	38.81	54.55
0.44	47.04	65.47	49.32
0.51	59.78	60.86	47.06
0.00	18.35	37.76	69.23
0.39	43.15	54.27	32.26
0.00	25.29	30.08	50.00
0.57	60.65	77.95	23.08
0.34	38.69	69.06	47.62
0.53	61.15	64.67	47.62
0.34	37.49	66.96	46.38
0.26	25.75	52.49	65.45
0.25	30.96	61.84	57.58
0.19	23.48	62.96	63.16
0.26	39.77	67.34	51.06
0.28	36.31	57.17	61.02
0.55	56.95	69.16	41.18
0.00	11.55	36.41	75.00
0.50	51.01	68.46	48.39
0.38	40.18	70.24	39.47
0.40	46.65	65.71	56.67
0.22	35.39	68.47	43.33
0.31	37.68	66.91	53.85
0.23	28.23	51.97	48.28
0.43	51.83	71.37	40.37
0.55	59.49	80.50	18.42
0.00	22.97	41.82	90.48
0.29	28.79	60.40	61.22
0.55	60.57	80.90	27.66
0.00	12.31	43.96	77.55
0.26	33.31	62.29	61.18
0.37	46.58	70.41	45.71
0.28	29.51	66.64	44.04
0.75	76.78	92.32	10.67
0.00	16.42	56.82	74.51
0.35	41.15	65.09	50.00
0.00	12.19	52.17	56.00
0.44	44.91	68.29	51.28
0.00	16.11	55.40	57.14
0.22	31.05	63.40	64.52
0.62	54.75	68.53	41.38
0.00	9.29	55.19	110.00
0.11	15.76	55.34	65.45
0.22	27.82	55.31	60.71
0.31	27.35	63.15	57.89
0.00	19.96	49.14	60.71
0.57	63.25	84.06	32.65
0.00	16.56	55.09	75.00
0.00	12.22	37.31	70.59
0.37	44.65	67.33	47.76
0.57	56.81	80.13	26.32
0.32	40.15	61.04	56.34
0.47	51.15	66.95	48.57
0.00	9.66	48.88	78.79
0.18	30.06	55.38	71.43
0.43	53.77	58.84	50.00
0.46	52.88	66.66	43.14
0.00	12.63	52.91	63.83
0.53	53.80	68.02	46.51
0.00	11.80	59.04	67.86
0.32	36.00	52.33	58.33
0.00	10.66	44.01	77.42
0.31	35.02	45.80	57.14
0.18	21.62	45.84	62.79
0.11	18.03	45.86	77.23
0.40	43.87	53.81	65.45
0.54	59.32	57.78	55.56
0.30	36.69	58.09	60.00
0.59	58.95	83.71	22.73
0.59	66.49	78.65	36.84
