BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.41	45.01	53.71	58.33
0.30	41.92	63.84	43.90
0.00	12.06	48.26	96.77
0.37	47.51	65.27	49.06
0.00	11.94	68.93	85.71
0.00	14.98	56.22	51.85
0.24	32.02	52.78	59.26
0.00	11.91	45.10	84.06
0.47	51.71	59.08	49.46
0.17	22.22	36.87	68.57
0.00	12.84	50.84	64.52
0.29	39.61	56.92	50.00
0.00	16.75	53.08	56.00
0.00	10.80	42.42	79.17
0.28	31.05	36.70	68.75
0.30	32.86	54.87	58.33
0.00	13.87	38.20	84.44
0.30	41.31	71.49	55.00
0.14	26.96	44.81	71.64
0.54	51.33	74.28	25.00
0.31	35.77	52.66	60.00
0.37	45.94	52.45	45.83
0.15	30.04	49.91	73.24
0.21	26.35	52.66	58.43
0.20	27.46	47.87	72.41
0.00	20.23	47.90	83.33
0.00	20.84	59.36	46.51
0.00	15.79	43.64	81.25
0.00	8.38	27.71	80.00
0.60	60.04	70.98	33.33
0.46	57.57	69.19	52.63
0.55	64.33	76.38	21.62
1.00	100.00	100.00	0.00
0.00	16.90	46.93	58.33
0.56	71.71	68.10	38.89
0.51	62.70	86.39	13.33
0.23	24.84	45.96	64.29
0.00	69.14	86.84	16.67
0.60	63.21	79.74	40.00
0.63	69.68	82.09	30.77
0.39	47.85	68.11	29.63
0.55	73.20	82.48	37.04
0.25	35.83	62.44	82.35
0.00	19.62	44.33	65.00
0.35	46.43	77.37	43.75
0.00	29.42	60.96	63.64
0.28	36.36	61.36	40.00
0.72	77.44	82.81	24.00
0.00	59.46	91.40	15.38
0.41	49.13	52.60	45.90
0.00	35.36	27.36	33.33
0.21	35.27	67.09	46.67
0.00	24.81	47.54	57.14
0.29	39.40	60.10	60.00
0.54	62.53	70.70	36.14
0.00	12.55	33.32	81.82
0.28	41.19	61.06	56.67
0.30	32.92	60.77	61.90
0.45	53.97	73.02	52.31
0.00	18.13	59.83	66.67
0.00	7.61	30.40	80.00
0.22	22.76	60.57	65.00
0.00	17.06	42.96	69.57
0.79	72.93	84.49	26.09
0.47	45.02	60.58	51.16
0.36	47.18	52.86	48.78
0.23	21.56	47.32	64.29
0.39	51.84	63.49	53.33
0.00	8.91	45.68	70.00
0.00	18.17	42.39	82.76
0.00	10.55	41.19	77.78
0.44	54.12	67.26	50.00
0.40	35.18	56.93	58.06
0.25	26.73	59.18	52.17
0.22	23.69	49.54	82.35
0.45	55.67	72.87	41.67
0.24	34.03	55.82	48.48
0.00	23.26	39.23	80.00
0.32	39.50	73.60	48.89
0.00	7.61	50.23	106.67
0.38	42.47	62.87	42.11
0.37	38.55	63.95	62.86
0.00	11.34	52.84	52.63
0.26	47.58	65.80	57.14
0.19	24.87	44.98	58.54
0.21	26.84	54.41	73.17
0.66	67.03	71.51	31.58
0.36	43.59	69.40	53.33
0.00	24.21	62.38	86.96
0.19	21.02	65.04	71.43
0.59	59.69	74.55	12.50
0.19	28.08	46.75	66.67
0.30	35.87	65.75	56.25
0.31	37.94	66.47	47.37
0.41	43.66	57.78	42.42
0.25	25.34	72.74	37.50
0.57	57.62	60.60	34.29
0.59	59.56	75.67	34.78
0.55	58.77	79.64	30.30
0.00	14.90	68.28	45.45
0.28	40.54	60.87	46.15
0.31	33.16	57.75	46.43
0.19	29.46	59.23	53.33
0.00	34.79	78.58	63.16
0.20	27.21	52.20	75.27
0.21	34.87	57.43	55.56
0.26	35.11	58.56	65.22
0.76	84.09	88.75	16.67
0.33	50.88	87.46	22.86
0.76	74.68	92.35	20.00
0.44	54.11	78.49	38.46
0.00	22.89	49.86	59.26
0.00	14.83	53.16	61.90
0.48	61.63	78.72	30.77
0.39	40.46	78.55	40.00
0.76	75.06	95.41	15.38
0.48	59.97	76.52	31.58
0.42	44.12	81.28	25.00
0.45	50.89	80.08	41.67
0.18	23.48	53.64	70.83
0.59	54.91	74.97	30.00
0.37	32.00	67.55	35.71
0.62	68.80	86.21	21.62
0.29	40.59	53.77	60.61
0.58	67.04	83.59	21.05
0.82	83.94	89.91	12.12
0.00	14.26	43.01	71.43
0.43	43.44	61.89	30.00
0.24	35.18	61.60	66.67
0.40	42.43	63.57	45.71
0.00	14.07	58.73	80.95
0.24	34.13	60.66	52.63
0.70	74.78	77.93	21.74
0.00	10.78	45.79	68.09
0.26	39.50	65.34	57.14
0.37	38.95	61.37	49.12
0.00	30.74	82.22	80.00
0.00	3.22	41.45	112.00
0.16	21.51	56.79	56.79
0.70	75.35	75.71	24.24
0.48	53.21	79.24	29.63
0.49	56.79	77.96	31.58
0.00	10.86	51.48	80.00
0.28	41.28	58.64	43.64
0.14	25.70	41.14	67.69
0.37	43.36	68.82	52.63
0.54	77.65	90.04	34.78
0.52	55.59	78.36	34.04
0.52	58.77	68.37	39.29
0.42	53.42	70.99	30.77
0.00	16.52	45.88	42.86
0.55	57.05	67.00	33.33
0.32	34.36	60.95	53.06
0.20	33.46	63.21	72.22
0.53	72.42	84.27	31.25
0.15	24.22	58.04	57.58
0.50	53.43	67.39	45.07
0.00	15.19	46.01	87.50
0.00	26.13	69.90	42.11
0.00	33.12	54.32	45.16
1.00	100.00	100.00	0.00
0.59	61.41	62.21	46.15
0.46	52.24	82.45	29.79
0.24	36.70	54.30	63.64
0.36	41.42	64.72	48.15
0.28	35.22	69.35	81.25
0.00	24.97	58.66	60.87
0.00	11.40	59.51	68.42
0.37	48.50	72.33	40.82
0.48	46.24	79.01	38.46
0.40	43.35	62.70	55.77
0.49	55.12	71.80	25.00
0.00	5.24	31.73	100.00
0.52	53.44	67.29	33.33
0.44	45.07	60.67	48.28
0.18	25.97	56.97	73.91
0.15	27.17	62.22	70.00
0.82	84.97	87.59	19.35
0.46	47.87	65.24	45.57
0.86	88.82	90.46	5.13
0.34	48.28	69.82	54.17
0.63	65.15	80.78	16.67
0.23	33.36	59.61	60.38
0.25	36.39	47.82	60.00
0.60	96.22	71.34	30.77
0.29	37.42	64.07	59.26
0.23	32.66	60.75	62.30
0.33	53.63	63.00	60.71
0.52	56.51	67.16	40.00
0.00	9.08	48.67	68.97
0.00	22.86	52.23	59.02
0.32	28.95	55.63	52.63
0.43	54.22	64.31	42.62
0.00	17.83	39.63	57.89
0.00	19.19	53.54	64.86
0.38	46.46	54.09	50.00
0.47	48.41	55.11	46.15
0.20	35.28	64.08	65.12
0.29	43.14	64.86	69.23
0.32	32.87	39.62	69.77
0.22	22.72	43.03	76.19
0.23	29.33	49.85	67.65
0.39	51.51	67.00	54.17
0.41	47.06	62.39	49.32
0.37	51.95	64.78	41.67
0.00	21.56	45.22	68.29
0.15	22.54	52.09	60.38
0.00	26.80	49.98	60.87
0.00	10.89	51.71	63.53
0.41	42.64	75.27	38.46
0.22	38.08	53.04	53.57
0.39	42.34	60.84	45.36
0.00	13.89	52.44	44.44
0.28	30.83	60.91	60.00
0.00	27.04	52.30	59.26
0.53	57.96	76.38	23.81
0.38	46.10	79.71	44.44
0.25	32.51	68.76	35.00
0.48	50.09	79.32	50.00
0.30	39.65	67.43	60.61
0.38	35.66	76.03	36.36
0.00	39.13	54.88	82.35
0.45	49.54	59.19	53.33
0.00	28.74	58.25	27.27
0.47	50.86	64.66	52.05
0.76	75.91	77.84	11.76
0.00	32.38	46.55	69.23
0.28	29.90	73.52	25.81
0.00	14.98	29.20	50.00
0.59	59.28	76.94	30.77
0.31	33.39	67.26	57.14
0.00	32.38	64.87	57.14
0.34	37.94	69.26	37.68
0.00	29.21	55.45	65.45
0.00	25.09	49.95	69.70
0.29	31.45	58.93	63.16
0.30	34.22	62.70	55.32
0.50	57.81	69.21	47.46
0.44	48.46	67.06	43.14
0.23	29.31	44.94	58.33
