BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.45	52.89	70.15	50.00
0.00	21.18	48.55	58.54
0.00	16.74	48.23	64.52
0.58	63.42	70.21	45.28
0.00	16.26	56.48	76.19
0.00	14.98	56.22	51.85
0.20	29.69	47.72	59.26
0.15	22.30	44.55	84.06
0.38	42.62	53.08	55.91
0.11	18.07	39.70	74.29
0.00	24.62	50.60	70.97
0.00	15.80	44.35	70.83
0.32	34.27	68.83	32.00
0.20	21.03	47.42	70.83
0.43	41.05	43.81	68.75
0.31	35.32	56.81	58.33
0.00	13.85	37.94	84.44
0.00	30.07	52.45	75.00
0.11	18.04	42.27	77.61
0.54	51.33	74.28	25.00
0.35	42.54	60.98	46.67
0.17	24.21	41.84	70.83
0.00	22.85	46.10	76.06
0.35	39.12	62.43	56.18
0.24	31.27	50.58	62.07
0.00	20.62	58.39	88.89
0.00	10.82	35.82	69.77
0.00	19.01	43.13	87.50
0.00	9.62	26.86	80.00
0.49	48.55	81.01	33.33
0.64	72.32	81.45	26.32
0.55	64.33	76.38	21.62
0.65	73.47	84.09	18.18
0.47	61.15	70.44	41.67
0.56	71.83	68.56	38.89
0.72	80.20	90.98	13.33
0.45	64.82	63.77	28.57
0.00	21.36	60.23	100.00
0.46	54.12	76.11	48.00
0.50	58.88	84.40	38.46
0.73	76.60	89.02	14.81
0.29	59.97	67.44	44.44
0.00	35.27	53.82	117.65
0.00	14.69	49.55	70.00
0.37	48.05	78.86	37.50
0.00	29.42	57.20	63.64
0.24	32.56	58.34	60.00
1.00	100.00	100.00	0.00
0.00	31.56	75.72	61.54
0.39	48.98	54.69	49.18
0.00	100.00	100.00	0.00
0.73	90.71	93.75	13.33
0.00	24.81	48.21	57.14
0.32	45.26	64.95	52.50
0.43	60.01	64.65	50.60
0.00	7.13	36.50	81.82
0.30	37.61	66.76	43.33
0.36	35.89	56.89	61.90
0.32	45.71	57.74	61.54
0.28	32.16	62.09	57.14
0.00	23.21	47.49	53.33
0.40	47.74	69.25	25.00
0.47	48.20	63.02	43.48
1.00	100.00	100.00	0.00
0.40	42.47	66.81	46.51
0.31	41.11	63.58	43.90
0.22	20.91	39.43	60.71
0.19	25.64	56.91	106.67
0.00	7.91	45.01	80.00
0.00	19.75	43.39	82.76
0.00	11.21	47.61	66.67
0.58	66.23	57.50	43.75
0.00	10.11	45.53	77.42
0.25	26.73	59.18	52.17
0.31	32.84	48.62	66.67
0.00	7.86	50.58	79.17
0.00	20.83	59.15	66.67
0.00	27.34	52.23	53.33
