BLEURT-20_ref_A
0.68
0.74
0.75
0.74
0.82
0.79
0.84
0.72
0.66
0.76
0.82
0.83
0.74
0.75
0.60
0.56
0.80
0.65
0.84
0.87
0.95
0.90
0.70
0.85
0.82
0.82
0.82
0.84
0.68
0.74
0.71
0.56
0.68
0.67
0.71
0.76
0.78
0.77
0.68
0.77
0.64
0.67
0.74
0.78
0.66
0.80
0.76
0.57
0.67
0.87
0.63
0.74
0.88
0.85
0.68
0.77
0.81
0.74
0.68
0.78
0.78
0.86
0.87
0.48
0.56
0.59
0.69
0.72
0.63
0.56
0.78
0.72
0.67
0.81
0.71
0.83
0.70
0.75
0.78
0.78
0.85
0.62
0.75
0.66
0.82
0.83
0.84
0.77
0.61
0.96
0.79
0.82
0.85
0.87
0.88
0.79
0.78
0.80
0.79
0.79
0.77
0.71
0.76
0.78
0.67
0.81
0.72
0.76
0.79
0.75
0.67
0.76
0.68
0.70
0.74
0.78
0.78
0.68
0.72
0.64
0.70
0.82
0.72
0.68
0.80
0.76
0.68
0.66
0.73
0.86
0.76
0.91
0.85
0.80
0.66
0.91
0.78
0.87
0.74
0.80
0.83
0.86
0.70
0.81
0.82
0.74
0.62
0.84
0.59
0.66
0.66
0.65
0.73
0.76
0.77
0.66
0.77
0.71
0.84
0.69
0.54
0.86
0.78
0.75
0.74
0.77
0.62
0.63
0.65
0.89
0.73
0.55
0.82
0.61
0.82
0.73
0.84
0.69
0.77
0.68
0.74
0.78
0.83
0.81
0.83
0.78
0.75
0.73
0.77
0.79
0.81
0.85
0.59
0.80
0.71
0.67
0.77
0.73
0.81
0.78
0.71
0.74
0.55
0.71
0.44
0.54
0.60
0.62
0.59
0.65
0.59
0.65
0.54
0.44
0.41
0.69
0.66
0.73
0.65
0.53
0.50
0.68
0.41
0.62
0.67
0.43
0.62
0.80
0.59
0.78
0.82
0.85
0.85
0.88
0.52
0.94
0.89
0.83
0.69
0.79
0.64
0.82
0.82
0.73
0.98
0.82
0.88
0.63
0.96
0.83
0.92
0.74
0.61
0.66
0.73
0.60
0.74
0.62
0.65
0.77
0.80
0.72
0.68
0.51
0.39
0.76
0.59
0.61
0.48
0.75
0.76
0.73
0.67
0.79
0.82
0.51
0.83
0.66
0.62
0.66
0.75
0.70
0.74
0.76
0.85
0.76
0.80
0.68
0.83
0.71
0.73
0.80
0.77
0.80
0.84
0.74
0.84
0.84
0.81
0.71
0.67
0.74
0.61
0.82
0.69
0.97
0.81
0.93
0.82
0.75
0.80
0.75
0.84
0.88
0.85
0.77
0.73
0.89
0.88
0.86
0.91
0.72
0.88
0.88
0.86
0.74
0.81
0.75
0.73
0.67
0.74
0.64
0.70
0.76
0.82
0.69
0.76
0.86
0.67
0.81
0.69
0.75
0.58
0.75
0.76
0.81
0.75
0.73
0.73
0.58
0.73
0.83
0.81
0.81
0.77
0.71
0.83
0.72
0.94
0.78
0.79
0.79
0.78
0.82
0.80
0.82
0.82
0.84
0.71
0.87
0.43
0.87
0.76
0.77
0.81
0.81
0.68
0.87
0.76
0.91
0.83
0.79
0.66
0.84
0.81
0.68
0.77
0.64
0.75
0.63
0.75
0.66
0.56
0.79
0.90
0.77
0.70
0.64
0.79
0.73
0.70
0.64
0.65
0.63
0.68
0.73
0.62
0.80
0.64
0.67
0.71
0.76
0.61
0.74
0.76
0.83
0.72
0.77
0.78
0.55
0.67
0.67
0.67
0.77
0.71
0.49
0.60
0.82
0.57
0.60
0.76
0.77
0.79
0.81
0.82
0.83
0.64
0.60
0.66
0.78
0.70
0.76
0.77
0.84
0.71
0.71
0.74
0.74
0.74
0.63
0.76
0.78
0.67
0.79
0.76
0.65
0.80
0.83
0.78
0.78
0.89
0.69
0.64
0.78
0.78
0.63
0.76
0.69
0.72
0.80
0.79
0.71
0.80
0.81
0.63
0.76
0.86
0.74
0.74
0.72
0.70
0.72
0.71
0.53
0.44
0.61
0.56
0.79
0.75
0.72
0.77
0.69
0.67
0.79
0.77
0.69
0.55
0.78
0.67
0.60
0.70
0.77
0.79
0.76
0.73
0.84
0.77
0.52
0.70
0.69
0.76
0.55
0.90
0.80
0.74
0.88
0.89
0.60
0.83
0.77
0.66
0.84
0.72
0.66
0.66
0.61
0.40
0.84
0.60
0.73
0.80
0.65
0.76
0.61
0.66
0.66
0.56
0.48
0.70
0.86
0.62
0.76
0.82
0.86
0.85
0.87
0.81
0.76
0.82
0.88
0.90
0.84
0.77
0.83
0.71
0.71
0.76
0.81
0.83
0.76
0.84
0.75
0.82
0.70
0.63
0.63
0.60
0.54
0.51
0.67
0.68
0.54
0.56
0.67
0.77
0.59
0.77
0.53
0.65
0.72
0.67
0.79
0.64
0.51
0.58
0.58
0.80
0.67
0.53
0.78
0.69
0.75
0.61
0.64
0.67
0.81
0.79
0.70
0.57
0.79
0.76
0.72
0.82
0.70
0.70
0.85
0.77
0.76
0.52
0.84
0.63
0.79
0.81
0.81
0.75
0.75
0.76
0.56
0.90
0.78
0.65
0.88
0.65
0.84
0.71
0.81
0.79
0.80
0.87
0.80
0.74
0.82
0.82
0.85
0.77
0.84
0.86
0.79
0.81
0.88
0.79
0.73
0.77
0.78
0.71
0.76
0.70
0.72
0.61
0.83
0.65
0.72
0.69
0.75
0.68
0.78
0.80
0.77
0.73
0.76
0.74
0.82
0.78
0.82
0.83
0.75
0.83
0.71
0.78
0.86
0.82
0.53
0.73
0.48
0.79
0.77
0.83
0.47
0.76
0.54
0.80
0.70
0.68
0.80
0.80
0.83
0.78
0.70
0.81
0.79
0.77
0.89
0.90
0.73
0.78
0.80
0.79
0.77
0.72
0.73
0.81
0.78
0.67
0.69
0.64
0.81
0.72
0.85
0.74
0.71
0.70
0.75
0.92
0.73
0.84
0.73
0.77
0.74
0.70
0.77
0.85
0.82
0.79
0.68
0.89
0.68
0.82
0.77
0.75
0.74
0.81
0.79
0.73
0.83
0.75
0.79
0.58
0.72
0.78
0.84
0.71
0.84
0.54
0.37
0.36
0.37
0.22
0.25
0.29
0.13
0.13
0.24
0.15
0.14
0.50
0.86
0.74
0.79
0.80
0.74
0.71
0.73
0.75
0.86
0.73
0.83
0.67
0.76
0.76
0.65
0.79
0.75
0.74
0.79
0.83
0.77
0.68
0.81
0.80
0.74
0.82
0.84
0.68
0.79
0.60
0.71
0.74
0.79
0.74
0.64
0.70
0.75
0.83
0.72
0.80
0.52
0.63
0.75
0.75
0.76
0.73
0.70
0.75
0.72
0.70
0.73
0.73
0.82
0.64
0.71
0.68
0.64
0.74
0.81
0.70
0.84
0.85
0.71
0.84
0.63
0.88
0.78
0.80
0.76
0.86
0.72
0.86
0.76
0.75
0.75
0.81
0.61
0.70
0.64
0.81
0.75
0.80
0.67
0.76
0.81
0.71
0.77
0.76
0.81
0.84
0.74
0.81
0.71
0.83
0.71
0.70
0.78
0.85
0.82
0.66
0.86
0.61
0.66
0.85
0.73
0.62
0.74
0.60
0.75
0.82
0.68
0.60
0.87
0.80
0.79
0.84
0.79
0.75
0.72
0.81
0.75
0.80
0.75
0.86
0.84
0.86
0.82
0.78
0.57
0.81
0.74
0.84
0.75
0.76
0.47
0.79
0.89
0.76
0.76
0.78
0.56
0.72
0.85
0.85
0.69
0.82
0.41
-0.23
-0.42
-0.35
0.00
-0.34
-0.37
-0.41
0.00
-0.31
-0.31
0.00
0.05
0.85
0.73
0.76
0.76
0.77
0.85
0.89
0.83
0.90
0.83
0.62
0.68
0.63
0.84
0.72
0.53
0.76
0.80
0.69
0.75
0.82
0.81
0.75
0.82
0.78
0.84
0.74
0.71
0.71
0.68
0.66
0.54
0.70
0.65
0.76
0.75
0.64
0.70
0.60
0.44
0.59
0.84
0.60
0.77
0.66
0.74
0.77
0.76
0.59
0.66
0.56
0.88
0.76
0.70
0.84
0.73
0.83
0.80
0.75
0.74
0.71
0.78
0.73
0.62
0.44
0.58
0.74
0.78
0.78
0.69
0.70
0.87
0.74
0.78
0.90
0.75
0.79
0.73
0.73
0.80
0.81
0.82
0.78
0.77
0.71
0.83
0.76
0.69
